Department,year,AwardPounds
Department of International Development,2017,713485.0
Department of International Development,2018,644976.0
Department of Pathogen Molecular Biology,2018,2250110.0
Dept of Aeronautics,2013,1287359.0
Dept of Aeronautics,2014,18395028.0
Dept of Aeronautics,2016,2416632.0
Dept of Aeronautics,2017,2405949.0
Dept of Aeronautics,2018,4527345.0
Dept of Bioengineering,2013,10232691.0
Dept of Bioengineering,2014,8035250.0
Dept of Bioengineering,2015,3429746.0
Dept of Bioengineering,2016,1989309.0
Dept of Bioengineering,2017,1810542.0
Dept of Bioengineering,2018,9560792.0
Dept of Chemistry,2014,4617554.0
Dept of Chemistry,2015,346710.0
Dept of Chemistry,2016,843694.0
Dept of Chemistry,2017,688148.0
Dept of Chemistry,2018,8388739.0
Dept of Computing,2013,501588.0
Dept of Computing,2014,5060186.0
Dept of Computing,2015,765341.0
Dept of Computing,2016,9444849.0
Dept of Computing,2017,4136280.0
Dept of Computing,2018,4635482.0
Dept of Mathematics,2013,1817644.0
Dept of Mathematics,2014,9574066.0
Dept of Mathematics,2015,1039927.0
Dept of Mathematics,2016,5237263.0
Dept of Mathematics,2017,4936227.0
Dept of Mathematics,2018,2331629.0
Dept of Mechanical Engineering,2011,2200000.0
Dept of Mechanical Engineering,2013,1037830.0
Dept of Mechanical Engineering,2014,6562175.0
Dept of Mechanical Engineering,2015,5980875.0
Dept of Mechanical Engineering,2016,1525835.0
Dept of Mechanical Engineering,2017,1623608.0
Dept of Mechanical Engineering,2018,2463015.0
Dept of Medicine,2012,3168125.0
Dept of Medicine,2013,14151504.0
Dept of Medicine,2014,10686261.0
Dept of Medicine,2015,5603563.0
Dept of Medicine,2016,11258852.0
Dept of Medicine,2017,18863074.0
Dept of Medicine,2018,12382169.0
Dept of Paediatrics and Child Health,2015,2544020.0
Dept of Physics,2013,6008707.0
Dept of Physics,2014,14238099.0
Dept of Physics,2015,19753679.0
Dept of Physics,2016,10145360.0
Dept of Physics,2017,11556768.0
Dept of Physics,2018,6271950.0
Dept of Surgery and Cancer,2014,654159.0
Dept of Surgery and Cancer,2015,1094144.0
Dept of Surgery and Cancer,2016,4871369.0
Dept of Surgery and Cancer,2017,3824805.0
Dept of Surgery and Cancer,2018,8140191.0
Design,2017,771440.0
Design,2018,202323.0
Design Engineering,2017,1261500.0
Design Engineering,2018,100809.0
Design Manufacture and Engineering Man,2011,1231298.0
Design Manufacture and Engineering Man,2015,908945.0
Design Manufacture and Engineering Man,2017,587009.0
Development,2018,15000.0
Development Planning Unit,2017,6319228.0
Development Studies,2015,1105244.0
Development Studies,2017,7725393.0
Development Studies,2018,95922.0
Developmental Neurobiology,2014,427000.0
Developmental Neurobiology,2015,355641.0
Developmental Neurobiology,2016,1467740.0
Developmental Neurobiology,2017,1979970.0
Developmental Neurobiology,2018,3236766.0
Diabetes & Nutritional Sciences,2015,103042.0
Diabetes & Nutritional Sciences,2016,1582837.0
Diabetes & Nutritional Sciences,2017,526898.0
Diabetes & Nutritional Sciences,2018,44574.0
Diabetes Centre,2017,594957.0
Diabetes Endocrinology and Metabolism,2015,2618056.0
Dickson Poon School of Law Departments,2017,147038.0
Dickson Poon School of Law Departments,2018,579717.0
Digital Catapult Centre,2018,910755.0
Digital Humanities,2018,77052.0
Digital World Research Centre,2017,953077.0
Director of Finance,2018,1286028.0
Director of Programmes Office,2018,14250.0
Directorate,2012,299792.0
Directorate,2017,248000.0
Directorate,2018,978742.0
Directorate Office,2017,90000.0
Directorate Office,2018,149610.0
Directors and Science Coordinators,2014,2085781.0
Directors and Science Coordinators,2017,7146331.0
Directors and Science Coordinators,2018,22431017.0
Disease Control,2018,1150194.0
Div of Materials Mech and Structures,2016,384850.0
Div of Process and Environmental Eng,2016,4484426.0
Divinity,2016,666777.0
Divinity,2018,24188.0
Division of Advanced Therapies,2018,2097761.0
Division of Biomedical and Life Sciences,2015,527179.0
Division of Biomedical and Life Sciences,2018,133083.0
Division of Breast Cancer Research,2015,338878.0
Division of Breast Cancer Research,2016,260184.0
Division of Cancer Biology,2016,845201.0
Division of Cancer Therapeutics,2016,323689.0
Division of Molecular Pathology,2016,940532.0
Division of PALS,2017,329042.0
Division of Psychiatry,2014,3405361.0
Division of Psychiatry,2018,1108721.0
Division of Radiotherapy and Imaging,2015,959973.0
Division of Radiotherapy and Imaging,2016,675859.0
Doctoral School,2011,12862800.0
Doctoral School,2017,7764710.0
Doctoral School,2018,390551.0
Drama,2017,254970.0
Drama,2018,727126.0
"Drama, Theatre and Dance",2018,663146.0
Duke-NUS Graduate Medical School,2015,2184691.0
Durrell Inst Conservation and Ecology,2013,393794.0
Durrell Inst Conservation and Ecology,2018,748498.0
ELSS Sch of Social Sciences,2016,36338.0
Ear Institute,2015,467637.0
Ear Institute,2016,755664.0
Ear Institute,2017,2049247.0
Ear Institute,2018,2477288.0
Earth Atmospheric and Env Sciences,2013,783540.0
Earth Atmospheric and Env Sciences,2014,6133817.0
Earth Atmospheric and Env Sciences,2015,6027212.0
Earth Atmospheric and Env Sciences,2016,4759352.0
Earth Atmospheric and Env Sciences,2017,7957488.0
Earth Atmospheric and Env Sciences,2018,6777830.0
Earth Hazards & Observatories,2012,319689.0
Earth Hazards & Observatories,2013,253906.0
Earth Hazards & Observatories,2014,486301.0
Earth Hazards & Observatories,2016,23961.0
Earth Hazards & Observatories,2017,688773.0
Earth Hazards & Observatories,2018,339358.0
Earth Science and Engineering,2013,1334472.0
Earth Science and Engineering,2014,155734.0
Earth Science and Engineering,2015,3497290.0
Earth Science and Engineering,2016,2083501.0
Earth Science and Engineering,2017,5603295.0
Earth Science and Engineering,2018,2017145.0
Earth Sciences,2012,1181024.0
Earth Sciences,2013,1888273.0
Earth Sciences,2014,16240341.0
Earth Sciences,2015,5678870.0
Earth Sciences,2016,11411610.0
Earth Sciences,2017,12623518.0
Earth Sciences,2018,9790672.0
Earth and Environmental Sciences,2015,360748.0
Earth and Environmental Sciences,2016,505895.0
Earth and Environmental Sciences,2017,525214.0
Earth and Environmental Sciences,2018,450680.0
Earth and Planetary Sciences,2016,311730.0
Earth and Planetary Sciences,2017,81539.0
Earth and Planetary Sciences,2018,82332.0
"Earth, Ocean and Ecological Sciences",2013,225732.0
"Earth, Ocean and Ecological Sciences",2014,571403.0
"Earth, Ocean and Ecological Sciences",2015,1583796.0
"Earth, Ocean and Ecological Sciences",2016,841242.0
"Earth, Ocean and Ecological Sciences",2017,3181161.0
"Earth, Ocean and Ecological Sciences",2018,869952.0
Eastman Dental Institute,2017,273174.0
Ecological Sciences,2016,207520.0
Economic History,2018,100577.0
Economics,2011,14395477.0
Economics,2013,1998976.0
Economics,2015,3680327.0
Economics,2016,1844929.0
Economics,2017,1635685.0
Economics,2018,4252143.0
Economics and Finance,2017,298697.0
Edinburgh Cancer Research Centre,2016,1074211.0
Edinburgh Cancer Research Centre,2017,98212.0
Edinburgh Cancer Research Centre,2018,513210.0
Edinburgh College of Art,2016,1189581.0
Edinburgh College of Art,2017,161641.0
Edinburgh College of Art,2018,5680166.0
Edinburgh Parallel Computing Centre,2015,3511601.0
Edinburgh Parallel Computing Centre,2016,2400000.0
Edinburgh Parallel Computing Centre,2018,12927136.0
Edinburgh Research and Innovation,2017,110000.0
Edinburgh Research and Innovation,2018,220000.0
Education,2015,2411590.0
Education,2016,1827777.0
Education,2017,9516001.0
Education,2018,2795449.0
Education and Outreach,2016,381856.0
Education and Outreach,2017,806941.0
Education and Outreach,2018,105955.0
Education and Professional Studies,2018,218250.0
"Education, Practice & Society",2013,4304425.0
"Education, Practice & Society",2015,4931091.0
"Education, Practice & Society",2017,910997.0
"Education, Practice & Society",2018,444439.0
Educational Hub,2015,10000.0
Educational Research,2015,118439.0
Educational Research,2018,288347.0
Electrical Engineering and Electronics,2015,492064.0
Electrical Engineering and Electronics,2016,933470.0
Electrical Engineering and Electronics,2017,1559624.0
Electrical Engineering and Electronics,2018,2779342.0
Electrical and Electronic Engineering,2011,2213559.0
Electrical and Electronic Engineering,2013,11683480.0
Electrical and Electronic Engineering,2014,9850431.0
Electrical and Electronic Engineering,2015,9237132.0
Electrical and Electronic Engineering,2016,12937768.0
Electrical and Electronic Engineering,2017,31878180.0
Electrical and Electronic Engineering,2018,20320461.0
Electronic Engineering,2018,402842.0
Electronic and Computer Engineering,2014,178901.0
Electronic and Computer Engineering,2016,366525.0
Electronic and Computer Engineering,2017,202408.0
Electronic and Computer Engineering,2018,158562.0
Electronic and Electrical Engineering,2013,6395938.0
Electronic and Electrical Engineering,2014,17018775.0
Electronic and Electrical Engineering,2015,7925984.0
Electronic and Electrical Engineering,2016,23275437.0
Electronic and Electrical Engineering,2017,30713881.0
Electronic and Electrical Engineering,2018,24340003.0
"Electronic, Electrical & Systems Enginee",2017,1485559.0
"Electronic, Electrical and Computer Eng",2014,1201331.0
"Electronic, Electrical and Computer Eng",2015,1920087.0
"Electronic, Electrical and Computer Eng",2017,2569181.0
Electronics,2014,919336.0
Electronics,2015,683915.0
Electronics,2017,1559256.0
Electronics,2018,6615721.0
Electronics Electrical Eng and Comp Sci,2015,6218024.0
Electronics Electrical Eng and Comp Sci,2017,1661396.0
Energy & Marine Geoscience,2016,197575.0
Energy & Marine Geoscience,2018,292255.0
Energy Systems Research Unit,2016,998878.0
Energy and Environment Institute,2017,440914.0
Engineering,2012,2566792.0
Engineering,2013,8758796.0
Engineering,2014,19816395.0
Engineering,2015,14407153.0
Engineering,2016,26498297.0
Engineering,2017,12040909.0
Engineering,2018,27122019.0
Engineering (Level 1),2018,225000.0
Engineering Computer Science and Maths,2013,1837561.0
Engineering Computer Science and Maths,2014,7533040.0
Engineering Computer Science and Maths,2015,2042759.0
Engineering Computer Science and Maths,2016,12156632.0
Engineering Computer Science and Maths,2017,11501115.0
Engineering Computer Science and Maths,2018,5010799.0
Engineering Geology,2015,213617.0
Engineering Geology,2016,1106179.0
Engineering Geology,2017,188293.0
Engineering Mathematics,2015,3073639.0
Engineering Mathematics,2016,712230.0
Engineering Mathematics,2017,422615.0
Engineering Mathematics,2018,250703.0
Engineering Science,2013,7053615.0
Engineering Science,2014,11777637.0
Engineering Science,2015,11819256.0
Engineering Science,2016,11776037.0
Engineering Science,2017,11285575.0
Engineering Science,2018,18796647.0
Engineering Tech and Maritime Operations,2014,517676.0
Engineering Tech and Maritime Operations,2018,943491.0
Engineering and Physical Sciences,2013,1441608.0
Engineering and Physical Sciences,2014,9283877.0
Engineering and Physical Sciences,2015,4399433.0
Engineering and Physical Sciences,2016,177355435.0
Engineering and Physical Sciences,2017,916256.0
Engineering and Physical Sciences,2018,8324308.0
English,2011,5029442.0
English,2013,822481.0
English,2014,407897.0
English,2015,1412102.0
English,2016,1377528.0
English,2017,1773435.0
English,2018,2286116.0
English Drama American and Canadian Stu,2016,429780.0
English Drama American and Canadian Stu,2018,232723.0
English Faculty,2013,1564148.0
English Faculty,2016,671063.0
English Language and Literature,2017,202341.0
English Language and Literature,2018,789652.0
English Studies,2013,785054.0
English and Applied Linguistics,2015,971954.0
English and Creative Writing,2017,761681.0
English and Drama,2016,752246.0
English and Drama,2018,344411.0
Ensembl Genomes,2017,319618.0
Ensembl Group,2015,413909.0
Enterprise Office,2013,274592.0
Enterprise Office,2014,350169.0
Enterprise Office,2015,161340.0
Entrepreneurship Enterprise Development,2018,91743.0
Environment,2015,354367.0
Environment,2016,411194.0
Environment,2017,248101.0
Environment,2018,1809717.0
"Environment, Education and Development",2011,301269.0
"Environment, Education and Development",2015,316310.0
"Environment, Education and Development",2016,1991237.0
"Environment, Education and Development",2017,10127954.0
"Environment, Education and Development",2018,593216.0
Environmental Change Institute SoGE,2014,2609300.0
Environmental Change Institute SoGE,2015,829093.0
Environmental Change Institute SoGE,2016,5374638.0
Environmental Change Institute SoGE,2018,20002004.0
Environmental Modelling,2014,205877.0
Environmental Modelling,2016,133065.0
Environmental Modelling,2017,5141662.0
Environmental Modelling,2018,168195.0
Environmental Sciences,2012,884349.0
Environmental Sciences,2014,5712959.0
Environmental Sciences,2015,1539628.0
Environmental Sciences,2016,1685441.0
Environmental Sciences,2017,3320582.0
Environmental Sciences,2018,2699599.0
Environmental and Geographical Sciences,2015,1536454.0
Epidemiology and Population Health,2013,5284644.0
Epidemiology and Population Health,2014,3063451.0
Epidemiology and Population Health,2015,1233928.0
Epidemiology and Population Health,2016,1616757.0
Epidemiology and Population Health,2017,3231758.0
Epidemiology and Population Health,2018,9404060.0
Epidemiology and Public Health,2012,1676436.0
Epidemiology and Public Health,2013,7028980.0
Epidemiology and Public Health,2015,630435.0
Epidemiology and Public Health,2016,276659.0
Epidemiology and Public Health,2017,1564236.0
Epidemiology and Public Health,2018,3022962.0
Epigenetics,2015,329409.0
Epigenetics,2018,48163.0
Essex Business School,2014,5020994.0
Essex Business School,2015,152256.0
Essex Business School,2018,320458.0
European Institute,2017,949868.0
European Institute,2018,102401.0
European Languages,2017,812857.0
European Studies,2018,527248.0
Executive,2015,328366.0
Executive,2016,887440.0
Executive,2018,3691559.0
Experimental Medicine,2013,9209664.0
Experimental Medicine,2014,1681384.0
Experimental Medicine,2016,1009082.0
Experimental Medicine,2017,2744435.0
Experimental Medicine,2018,315736.0
Experimental Psychology,2013,1666069.0
Experimental Psychology,2015,2057337.0
Experimental Psychology,2016,4057732.0
Experimental Psychology,2017,5135367.0
Experimental Psychology,2018,4100328.0
Fac of Arts Creative Ind and Education,2017,446275.0
Fac of Arts Creative Ind and Education,2018,7215320.0
"Fac of Arts, Design and Social Sciences",2017,1491568.0
"Fac of Arts, Design and Social Sciences",2018,1874768.0
Fac of Business and Law,2018,35441.0
Fac of Engineering and Environment,2014,458078.0
Fac of Engineering and Environment,2016,328870.0
Fac of Engineering and Environment,2017,2202680.0
Fac of Engineering and Environment,2018,2123888.0
Fac of Forestry and Nature Conservation,2015,320682.0
Fac of Health and Applied Social Studies,2018,198436.0
Fac of Health and Life Sciences,2017,454398.0
Fac of Health and Life Sciences,2018,325034.0
Fac of Science Engineering and Computing,2017,279703.0
Fac of Science Engineering and Computing,2018,146920.0
Faculty of Arts,2018,5625771.0
Faculty of Arts Computing Eng and Sci,2017,424707.0
Faculty of Arts Computing Eng and Sci,2018,244162.0
Faculty of Arts and Humanities,2018,54433.0
Faculty of Arts and Social Sci (FASS),2015,767909.0
Faculty of Arts and Social Sci (FASS),2016,1910560.0
Faculty of Arts and Social Sci (FASS),2017,643976.0
Faculty of Arts and Social Sci (FASS),2018,1601565.0
"Faculty of Arts, Science and Technology",2017,99771.0
Faculty of Business and Economics,2016,572984.0
Faculty of Business and Law,2018,351812.0
Faculty of Business and Law (FBL),2016,265467.0
"Faculty of Business, Law and Sport",2018,7282.0
"Faculty of Computing, Eng. and Science",2018,278515.0
Faculty of Creative and Cultural Ind,2018,149673.0
Faculty of Education,2015,457731.0
Faculty of Education,2016,207371.0
Faculty of Education,2018,1165844.0
Faculty of Engineering,2013,8624149.0
Faculty of Engineering,2014,8818180.0
Faculty of Engineering,2015,5826045.0
Faculty of Engineering,2016,5926953.0
Faculty of Engineering,2017,29076280.0
Faculty of Engineering,2018,6091851.0
Faculty of Engineering & the Environment,2014,10298139.0
Faculty of Engineering & the Environment,2015,12962364.0
Faculty of Engineering & the Environment,2016,4349740.0
Faculty of Engineering & the Environment,2017,20893949.0
Faculty of Engineering & the Environment,2018,10652324.0
Faculty of Environment and Technology,2014,1774034.0
Faculty of Environment and Technology,2015,499096.0
Faculty of Environment and Technology,2016,646065.0
Faculty of Environment and Technology,2017,906856.0
Faculty of Environment and Technology,2018,269194.0
Faculty of Health Sciences,2016,3428897.0
Faculty of Health Sciences,2017,150033.0
Faculty of Health and Life Sciences,2013,304861.0
Faculty of Health and Life Sciences,2015,566326.0
Faculty of Health and Life Sciences,2016,329980.0
Faculty of Health and Life Sciences,2017,768078.0
Faculty of Health and Life Sciences,2018,1141505.0
Faculty of Health and Medical Sciences,2015,95042.0
Faculty of Health and Medical Sciences,2016,64231.0
Faculty of Health and Wellbeing,2017,202698.0
Faculty of Health and Wellbeing,2018,99034.0
Faculty of Humanities & Social Sciences,2015,28872.0
Faculty of Humanities & Social Sciences,2016,204648.0
Faculty of Humanities & Social Sciences,2017,270881.0
Faculty of Humanities & Social Sciences,2018,1083454.0
Faculty of Law,2017,241040.0
Faculty of Law,2018,1254731.0
Faculty of Management,2016,286486.0
Faculty of Management,2017,1563006.0
Faculty of Media and Communication,2018,436148.0
Faculty of Medical & Veterinary Sciences,2017,771776.0
Faculty of Medicine HQ,2018,151093.0
Faculty of Medicine and Dentistry,2014,201334.0
Faculty of Medicine and Dentistry,2015,482295.0
Faculty of Medicine and Dentistry,2017,327374.0
Faculty of Medicine and Dentistry,2018,1231208.0
Faculty of Natural Sciences,2014,141734.0
Faculty of Natural Sciences,2015,2199114.0
Faculty of Natural Sciences,2016,245956.0
Faculty of Natural Sciences,2017,1401709.0
Faculty of Natural Sciences,2018,2861005.0
Faculty of Philosophy,2016,158568.0
"Faculty of Sci, Tech, Eng & Maths (STEM)",2014,1613306.0
"Faculty of Sci, Tech, Eng & Maths (STEM)",2015,1118920.0
"Faculty of Sci, Tech, Eng & Maths (STEM)",2016,401096.0
"Faculty of Sci, Tech, Eng & Maths (STEM)",2017,5373877.0
"Faculty of Sci, Tech, Eng & Maths (STEM)",2018,4804314.0
Faculty of Science,2016,488452.0
Faculty of Science,2017,1204510.0
Faculty of Science,2018,284327.0
Faculty of Science & Technology,2016,199601.0
Faculty of Science & Technology,2017,456453.0
Faculty of Science & Technology,2018,452141.0
Faculty of Science and Technology,2016,330739.0
Faculty of Science and Technology,2018,60334.0
Faculty of Social Science,2017,655736.0
"Faculty of Tech, Design and Environment",2016,486257.0
"Faculty of Tech, Design and Environment",2017,772178.0
"Faculty of Tech, Design and Environment",2018,2119874.0
Faculty of Technology,2017,444858.0
"Faculty of Wellbg, Educ & Lang Sci(WELS)",2015,270441.0
"Faculty of Wellbg, Educ & Lang Sci(WELS)",2017,51257.0
Film & Television Studies,2016,718491.0
Film Theatre and Television,2015,718139.0
Finance,2018,798777.0
Finance Office,2013,10408120.0
Finance Office,2014,69524.0
Finance Office,2015,1183024.0
Finance Office,2016,1933396.0
Finance Office,2017,941213.0
Finance Office,2018,1844991.0
Finance and Financial Management,2014,1145229.0
Finance and Financial Management,2015,1177737.0
Finance and Financial Management,2016,2344056.0
Finance and Financial Management,2018,3570044.0
Financial and Management Studies,2017,2677574.0
Food Innovation and Health,2016,181049.0
Food Innovation and Health,2017,273464.0
Food Innovation and Health,2018,866525.0
Food and Nutritional Sciences,2014,595040.0
Food and Nutritional Sciences,2015,95042.0
Food and Nutritional Sciences,2016,453661.0
Food and Nutritional Sciences,2017,3492839.0
Food and Nutritional Sciences,2018,98212.0
Forensic and Neurodevelopmental Science,2015,882876.0
Forensic and Neurodevelopmental Science,2018,378233.0
Games Academy,2017,56268.0
Gatsby Computational Neuroscience Unit,2016,529421.0
Gender Institute,2016,392402.0
General Engineering Research Institute,2016,329977.0
Genetics,2015,1341923.0
Genetics,2016,2922945.0
Genetics,2017,1821743.0
Genetics,2018,5101379.0
Genetics Evolution and Environment,2015,103042.0
Genetics Evolution and Environment,2016,1197055.0
Genetics Evolution and Environment,2017,1648069.0
Genetics Evolution and Environment,2018,5474768.0
Genetics and Breeding,2015,874168.0
Genetics and Breeding,2016,1336625.0
Genetics and Breeding,2017,898075.0
Genetics and Breeding,2018,2809326.0
Genetics and Molecular Medicine,2015,4499160.0
Genetics and Molecular Medicine,2016,1691533.0
Genetics and Molecular Medicine,2017,507376.0
Genetics and Molecular Medicine,2018,4053827.0
Geographical Sciences,2013,253518.0
Geographical Sciences,2014,2723211.0
Geographical Sciences,2015,1861756.0
Geographical Sciences,2016,1242698.0
Geographical Sciences,2017,2719318.0
Geographical Sciences,2018,2004434.0
Geography,2011,20915988.0
Geography,2012,1461871.0
Geography,2013,1252193.0
Geography,2014,9603312.0
Geography,2015,8628384.0
Geography,2016,11711416.0
Geography,2017,23694145.0
Geography,2018,12174034.0
Geography - SoGE,2013,749056.0
Geography - SoGE,2014,96014.0
Geography - SoGE,2015,1759198.0
Geography - SoGE,2016,1958475.0
Geography - SoGE,2017,8630326.0
Geography - SoGE,2018,1440095.0
Geography Politics and Sociology,2014,1093863.0
Geography Politics and Sociology,2016,148228.0
Geography Politics and Sociology,2017,319057.0
Geography Politics and Sociology,2018,2045284.0
Geography and Environment,2013,5667700.0
Geography and Environment,2016,288174.0
Geography and Environmental Science,2012,396996.0
Geography and Environmental Science,2014,73009.0
Geography and Environmental Science,2016,220655.0
Geography and Environmental Science,2018,488042.0
Geography and Environmental Sciences,2013,1281581.0
Geography and Environmental Sciences,2015,1075728.0
Geography and Environmental Sciences,2016,2230470.0
Geography and Environmental Sciences,2017,2626621.0
Geography and Environmental Sciences,2018,435041.0
Geography and Planning,2012,333615.0
Geography and Planning,2014,130861.0
Geography and Planning,2016,804174.0
Geography and Planning,2018,83881.0
Geography and Sustainable Development,2013,126615.0
Geography and Sustainable Development,2016,37519.0
Geography and Sustainable Development,2017,1267148.0
Geography and Sustainable Development,2018,1044649.0
Geology,2013,595596.0
Geology & Regional Geophysics,2015,100653.0
Geology and Petroleum Geology,2015,666595.0
George Institute – Oxford (TGI),2018,320047.0
George Warren Brown Sch of Social Work,2018,713698.0
German,2013,823216.0
Global Health Research Center,2016,505839.0
Government,2017,120804.0
Government,2018,1379942.0
Government Business,2015,1382930.0
Government Business,2016,338647.0
Government and International Affairs,2016,242687.0
Government and International Affairs,2017,970682.0
Government and International Affairs,2018,504076.0
Graduate Office,2015,468691.0
Graduate School,2018,339396.0
Graduate School of Education,2015,286943.0
Graduate Studies,2017,196424.0
Grantham Institute for Climate Change,2014,7611216.0
Grantham Institute for Climate Change,2016,91763.0
Grantham Institute for Climate Change,2018,196895.0
Grantham Research Inst on Climate Change,2013,4371290.0
Grantham Research Inst on Climate Change,2015,830995.0
Grantham Research Inst on Climate Change,2016,127493.0
Grantham Research Inst on Climate Change,2018,1112613.0
Grants,2018,14750.0
Grants Administration,2013,668736.0
Grants Administration,2017,1075588.0
Grants Administration,2018,62559021.0
Grants Administration Office,2018,996159.0
Groundwater,2013,9691.0
Groundwater,2014,306861.0
Groundwater,2015,1695536.0
Groundwater,2016,416175.0
Groundwater,2018,997051.0
Gurdon Institute,2016,559056.0
Gurdon Institute,2017,4200405.0
Gut Microbes and Health,2015,415769.0
Gut Microbes and Health,2016,1220732.0
Gut Microbes and Health,2017,1173396.0
Haematology,2014,1618490.0
Haematology,2015,2985492.0
Haematology,2016,96696.0
Haematology,2017,506007.0
Haematology,2018,2026627.0
Head Office,2017,4051979.0
Head Office,2018,198517.0
Head office,2015,554141.0
Headquarters,2015,256405.0
Health Science,2016,3454055.0
Health Science,2017,771919.0
Health Science,2018,1524123.0
Health Sciences,2016,282673.0
Health Sciences,2017,538581.0
Health Sciences,2018,292991.0
Health Sciences Faculty,2015,1168957.0
Health Sciences Faculty,2016,578055.0
Health Sciences Faculty,2018,597691.0
Health Service Management Centre,2018,80641.0
Health Service and Population Research,2015,538323.0
Health Service and Population Research,2017,2273745.0
Health Service and Population Research,2018,5632578.0
Health and Population Sciences,2016,1904868.0
Health and Related Research,2016,380032.0
Health and Related Research,2017,1692624.0
Health and Related Research,2018,1869556.0
Health and Social Care Research,2016,814687.0
Health and Social Care Research,2018,136215.0
Henry Wellcome LINE,2016,437071.0
Henry Wellcome LINE,2017,558284.0
Hispanic Studies,2016,476040.0
Historic Buildings,2017,164976.0
Histories,2016,200711.0
Histories,2017,370359.0
History,2014,2253095.0
History,2015,957104.0
History,2016,1535900.0
History,2017,5699221.0
History,2018,1566133.0
History Classics and Archaeology,2016,338325.0
History Classics and Archaeology,2017,203039.0
History Faculty,2015,198809.0
History Faculty,2016,1099779.0
History Faculty,2018,889351.0
History and Archaeology,2017,28974.0
History and Archaeology,2018,24864.0
History and Cultures,2014,508511.0
History and Cultures,2016,318608.0
History and Cultures,2017,421476.0
History of Art,2016,809968.0
"History, Politics & Social Sci., FACH",2016,1046026.0
"History, Religions and Philosophy",2017,1043944.0
Homeland Security and Resilience,2015,187863.0
Horizon Digital Economy Research,2015,4062954.0
Horizon Digital Economy Research,2018,1011786.0
Hospitality,2018,356647.0
Human Development and Health,2014,1447904.0
Human Development and Health,2016,523448.0
Human Development and Health,2017,776938.0
Human Development and Health,2018,449172.0
Human Genetics,2018,607792.0
Human Resource Management,2018,526653.0
Human Rights Centre,2014,1464033.0
Human Rights Centre,2015,4743734.0
Human Rights Centre,2017,70253.0
Human Settlements Group,2017,273102.0
Humanities and Social Sciences,2015,398395.0
Humanities and Social Sciences,2016,426535.0
Hydro-climate Risks,2014,391802.0
Hydro-climate Risks,2015,2907532.0
Hydro-climate Risks,2016,2160873.0
Hydro-climate Risks,2017,254062.0
Hydro-climate Risks,2018,359547.0
HydroSciences Montpellier (HSM),2015,255357.0
IBERS,2013,162543.0
IBERS,2014,1951036.0
IBERS,2015,1210370.0
IBERS,2016,478924.0
IBERS,2017,1731715.0
IBERS,2018,2794007.0
IDD,2017,93894.0
IFS Research Team,2014,1337020.0
IFS Research Team,2015,7356959.0
IFS Research Team,2016,614115.0
IFS Research Team,2017,3368796.0
IFS Research Team,2018,196957.0
ISIS Pulsed Neutron & Muon Source,2016,58048.0
ISIS Pulsed Neutron & Muon Source,2018,40476.0
Identification and Naming,2018,693725.0
Imaging & Biomedical Engineering,2012,7287953.0
Imaging & Biomedical Engineering,2014,10627470.0
Imaging & Biomedical Engineering,2015,2324957.0
Imaging & Biomedical Engineering,2016,3806313.0
Imaging & Biomedical Engineering,2017,11374484.0
Imaging & Biomedical Engineering,2018,2644576.0
Immunity and Infection,2013,1272062.0
Immunity and Infection,2014,1591473.0
Immunity and Infection,2015,3031413.0
Immunity and Infection,2016,1362372.0
Immunity and Infection,2017,1225642.0
Immunology Infection and Inflam Diseases,2011,2578995.0
Immunology Infection and Inflam Diseases,2013,1046025.0
Immunology Infection and Inflam Diseases,2015,2853832.0
Immunology Infection and Inflam Diseases,2016,922342.0
Immunology Infection and Inflam Diseases,2017,1144770.0
Immunology Infection and Inflam Diseases,2018,260136.0
Immunology and Molecular Pathology,2015,3618314.0
Immunology and Molecular Pathology,2016,2055041.0
Immunology and Molecular Pathology,2018,399757.0
Imperial College Business School,2013,1372960.0
Imperial College Business School,2014,2114479.0
Imperial College Business School,2015,1210050.0
Imperial College Business School,2016,1628600.0
Imperial College Business School,2017,392547.0
Imperial College Business School,2018,35823.0
Infection,2016,1639307.0
Infection,2017,2038968.0
Infection,2018,1249725.0
Infection Immunity & Cardiovasc Disease,2014,1204229.0
Infection Immunity & Cardiovasc Disease,2015,8735450.0
Infection Immunity & Cardiovasc Disease,2016,597477.0
Infection Immunity & Cardiovasc Disease,2018,1129637.0
Infection Immunity and Inflammation,2015,2468454.0
Infection Immunity and Inflammation,2016,1408505.0
Infection Immunity and Inflammation,2017,2129594.0
Infection Immunity and Inflammation,2018,687473.0
Infection and Population Health,2014,2125277.0
Infectious Diseases,2017,268746.0
Infectious and Tropical Diseases,2014,2551857.0
Infectious and Tropical Diseases,2015,4596998.0
Infectious and Tropical Diseases,2016,11802023.0
Infectious and Tropical Diseases,2017,5491810.0
Infectious and Tropical Diseases,2018,11996542.0
Informatics,2014,953404.0
Informatics,2017,4018339.0
Informatics,2018,4295483.0
Informatics Collaboratory for Social Sci,2017,141942.0
Information School,2015,94126.0
Information School,2017,98212.0
Information School,2018,421864.0
Information Security,2013,3793545.0
Information Security,2014,747776.0
Information Security,2016,4509492.0
Information Security,2017,370326.0
Information Security,2018,156233.0
Information Studies,2017,260712.0
Innovation & Research,2015,193121.0
Ins for Future Transport & Cities,2017,269113.0
Ins for Future Transport & Cities,2018,49523.0
