,FundingOrgName,LeadROName,Department,ProjectCategory,StartDate,EndDate,AwardPounds,Region
2114,BBSRC,Earlham Institute,Research Faculty,Research Grant,16/03/2018,15/03/2021,30428.0,East of England
2115,Innovate UK,Iceoxford Limited,,Feasibility Studies,01/05/2017,31/03/2019,51267.0,South East
2119,Innovate UK,Zenotech Ltd,,Feasibility Studies,01/09/2018,31/08/2019,69937.0,Wales
2120,BBSRC,University of Sheffield,Animal and Plant Sciences,Research Grant,03/12/2018,02/12/2021,441024.0,Yorkshire and The Humber
2122,ESRC,London School of Economics & Pol Sci,Anthropology,Research Grant,01/08/2015,31/12/2018,1313270.0,London
2123,STFC,University of Strathclyde,Physics,Research Grant,01/01/2017,30/09/2021,373578.0,Scotland
2124,ESRC,Durham University,Psychology,Research Grant,01/08/2016,31/07/2019,342080.0,North East
2125,NERC,University of Leicester,Chemistry,Research Grant,01/10/2015,31/12/2019,147274.0,East Midlands
2126,BBSRC,University of Manchester,School of Biological Sciences,Research Grant,01/06/2017,30/11/2020,504256.0,North West
2128,EPSRC,Imperial College London,Materials,Research Grant,01/12/2016,30/11/2020,1295518.0,London
2133,NERC,NERC British Antarctic Survey,Science Programmes,Research Grant,01/10/2018,30/09/2023,839421.0,East of England
2134,Innovate UK,Rolls-Royce plc,,CRD,01/11/2018,30/06/2021,15300000.0,London
2135,EPSRC,University of Surrey,Chemistry,Research Grant,01/10/2018,30/09/2021,429829.0,South East
2138,EPSRC,University of Oxford,Oxford Chemistry,Research Grant,01/10/2017,30/09/2019,490222.0,South East
2140,STFC,University of Glasgow,School of Physics and Astronomy,Research Grant,01/10/2016,31/03/2021,5244203.0,Scotland
2141,EPSRC,University College London,London Centre for Nanotechnology,Research Grant,01/10/2018,30/09/2022,3900619.0,London
2142,EPSRC,University of Glasgow,School of Mathematics & Statistics,Fellowship,01/04/2018,31/03/2021,555363.0,Scotland
2146,Innovate UK,University of Sheffield,,Knowledge Transfer Partnership,01/04/2018,30/06/2021,190220.0,Yorkshire and The Humber
2148,BBSRC,University of Exeter,Biosciences,Research Grant,01/07/2016,08/05/2020,365862.0,South West
2149,AHRC,University of Leicester,English,Research Grant,01/07/2013,30/06/2019,822481.0,East Midlands
2150,ESRC,Heriot-Watt University,"Sch of Energy, Geosci, Infrast & Society",Research Grant,01/05/2016,30/04/2019,808289.0,Scotland
2151,NC3Rs,University of Edinburgh,Centre for Cardiovascular Science,Training Grant,01/12/2016,30/11/2019,90000.0,Scotland
2152,AHRC,Manchester Metropolitan University,Faculty of Education,Research Grant,07/02/2018,06/05/2019,24203.0,North West
2153,Innovate UK,Mirico Ltd.,,EU-Funded,01/09/2017,30/09/2020,272872.0,South East
2154,BBSRC,Imperial College London,Life Sciences,Research Grant,01/04/2017,31/03/2020,584481.0,London
2156,MRC,University of Oxford,Weatherall Inst of Molecular Medicine,Fellowship,05/09/2017,04/09/2020,253741.0,South East
2158,MRC,University of Warwick,School of Life Sciences,Research Grant,01/01/2017,31/12/2020,1112781.0,West Midlands
2159,EPSRC,University of Sheffield,Physics and Astronomy,Research Grant,20/07/2016,19/07/2021,5638688.0,Yorkshire and The Humber
2163,EPSRC,Cranfield University,"School of Water, Energy and Environment",Research Grant,01/06/2018,31/12/2019,100775.0,East of England
2164,STFC,University College London,Physics and Astronomy,Fellowship,01/03/2017,28/02/2022,489070.0,London
2166,MRC,London Sch of Hygiene and Trop Medicine,Epidemiology and Population Health,Research Grant,01/04/2017,31/03/2019,572834.0,London
2168,BBSRC,University of Aberdeen,Inst of Biological and Environmental Sci,Research Grant,01/01/2016,31/12/2019,2403479.0,Scotland
2169,NERC,Bangor University,Sch of Natural Sciences,Research Grant,01/09/2015,31/12/2018,630030.0,Wales
2171,STFC,University of Nottingham,Sch of Physics & Astronomy,Training Grant,01/10/2015,30/09/2020,426046.0,East Midlands
2175,Innovate UK,Witt Limited,,Collaborative R&D,01/11/2017,31/01/2019,68086.0,South West
2178,NERC,University of Plymouth,Sch of Biological and Marine Sciences,Research Grant,01/05/2016,31/01/2021,772932.0,South West
2179,Innovate UK,University of Plymouth,,Knowledge Transfer Partnership,01/10/2018,30/09/2020,108935.0,South West
2181,ESRC,University of Birmingham,"Sch of Geography, Earth & Env Sciences",Research Grant,01/01/2016,01/09/2018,299617.0,West Midlands
2183,AHRC,University of Leicester,Sch of Historical Studies,Research Grant,01/01/2018,31/12/2020,820638.0,East Midlands
2187,BBSRC,University of Aberdeen,"Sch of Medicine, Medical Sci & Nutrition",Training Grant,01/10/2018,30/09/2022,99034.0,Scotland
2190,ESRC,University of Leicester,"Neuroscience, Psychology and Behaviour",Research Grant,01/07/2018,30/06/2021,396198.0,East Midlands
2191,Innovate UK,Vibtek Ltd,,Collaborative R&D,01/10/2018,30/09/2020,1471872.0,Unknown
2193,Innovate UK,Anglia Ruskin University,,Knowledge Transfer Partnership,01/08/2018,31/01/2019,87188.0,East of England
2194,EPSRC,University of Oxford,Materials,Research Grant,01/04/2017,31/03/2021,12195.0,South East
2196,EPSRC,"Queen Mary, University of London",Research Support Services,Training Grant,01/10/2016,30/09/2021,81430.0,London
2200,Innovate UK,Ultrawave Limited,,EU-Funded,01/10/2018,31/03/2019,54218.0,Wales
2201,EPSRC,Lancaster University,Mathematics and Statistics,Research Grant,01/04/2018,31/03/2023,2952639.0,North West
2203,EPSRC,Newcastle University,Sch of Engineering,Research Grant,01/12/2016,30/11/2019,291239.0,North East
2204,STFC,Ignite Futures Ltd,Director of Programmes Office,Research Grant,01/03/2018,31/08/2019,14250.0,East Midlands
2206,BBSRC,University of Bristol,Biological Sciences,Research Grant,01/02/2016,31/01/2021,2893042.0,South West
2207,Innovate UK,Swanbarton Limited,,Feasibility Studies,01/03/2018,28/02/2019,93471.0,South West
2208,Innovate UK,Cobra Biologics Limited,,Feasibility Studies,01/10/2018,30/09/2019,59849.0,West Midlands
2209,BBSRC,University of Greenwich,"Natural Resources Institute, FES",Research Grant,01/07/2018,30/06/2021,989639.0,London
2215,BBSRC,Royal Veterinary College,Pathology and Pathogen Biology,Training Grant,01/02/2015,31/01/2023,124933.0,London
2217,BBSRC,University of York,Chemistry,Research Grant,01/04/2018,31/03/2021,695423.0,Yorkshire and The Humber
2218,Innovate UK,University of Strathclyde,,Knowledge Transfer Partnership,01/02/2018,31/01/2021,160763.0,Scotland
2220,BBSRC,University of Manchester,Earth Atmospheric and Env Sciences,Research Grant,01/08/2015,31/07/2019,320855.0,North West
2222,AHRC,University of Warwick,"Sch of Theatre, Perform & Cult Poli Stud",Research Grant,01/04/2017,31/03/2020,268790.0,West Midlands
2224,EPSRC,University of Birmingham,Mechanical Engineering,Research Grant,01/05/2017,30/04/2020,1398052.0,West Midlands
2225,MRC,University of Oxford,Psychiatry,Research Grant,01/06/2017,31/05/2019,450896.0,South East
2226,BBSRC,University of Surrey,Faculty of Health and Medical Sciences,Training Grant,01/10/2016,31/07/2019,64231.0,South East
2227,AHRC,Queen's University of Belfast,Sch of Law,Research Grant,01/11/2016,31/12/2018,74139.0,Northern Ireland
2228,MRC,University College London,Immunology and Molecular Pathology,Research Grant,24/09/2018,23/09/2021,399757.0,London
2229,Innovate UK,Biocatalysts Limited,,Feasibility Studies,01/03/2018,28/02/2019,59736.0,Wales
2230,MRC,University College London,Maternal & Fetal Medicine,Research Grant,01/11/2018,31/10/2021,803597.0,London
2232,BBSRC,University of Edinburgh,Centre for Discovery Brain Sciences,Research Grant,01/01/2016,22/07/2019,401663.0,Scotland
2233,STFC,University of Hertfordshire,"School of Physics, Astronomy and Maths",Training Grant,01/10/2014,30/09/2018,212601.0,East of England
2236,NERC,NERC British Antarctic Survey,Science Programmes,Research Grant,01/11/2017,31/12/2018,102408.0,East of England
2238,BBSRC,University of Essex,Biological Sciences,Training Grant,01/10/2016,30/09/2020,96696.0,East of England
2240,EPSRC,University of Southampton,Sch of Mathematical Sciences,Research Grant,01/10/2015,28/02/2019,413452.0,South East
2241,ESRC,University College London,"Science, Tech, Eng and Public Policy",Research Grant,01/04/2016,31/03/2019,457451.0,London
2244,BBSRC,University of Manchester,Chemistry,Research Grant,01/04/2017,31/03/2020,585505.0,North West
2245,MRC,Imperial College London,Dept of Medicine,Fellowship,01/10/2015,30/09/2018,260595.0,London
2251,ESRC,King's College London,War Studies,Fellowship,01/10/2018,30/09/2019,98687.0,London
2254,Innovate UK,Rapita Systems Limited,,EU-Funded,01/04/2016,31/03/2019,122320.0,Yorkshire and The Humber
2259,EPSRC,University of Sheffield,Civil and Structural Engineering,Research Grant,01/04/2017,31/03/2020,337877.0,Yorkshire and The Humber
2261,EPSRC,University of Warwick,Physics,Research Grant,01/07/2015,30/06/2020,125995.0,West Midlands
2262,BBSRC,Lancaster University,Division of Biomedical and Life Sciences,Research Grant,02/03/2018,01/03/2019,133083.0,North West
2263,ESRC,University of Oxford,Engineering Science,Research Grant,01/07/2017,30/06/2020,120344.0,South East
2264,MRC,University of Edinburgh,School of Clinical Sciences,Research Grant,01/08/2017,31/05/2020,195566.0,Scotland
2265,EPSRC,Coventry University,Ctr for Built & Natural Environment,Research Grant,28/01/2013,27/12/2018,669208.0,West Midlands
2266,MRC,University of Glasgow,"College of Medical, Veterinary &Life Sci",Fellowship,15/11/2017,14/11/2020,290658.0,Scotland
2268,NERC,University of Liverpool,Geography and Planning,Research Grant,01/11/2012,28/09/2018,333615.0,North West
2269,Innovate UK,Safeguard Nautica Ltd,,CRD,01/10/2018,31/03/2019,41985.0,South West
2270,NERC,Marine Biological Association,CPR Survey,Research Grant,01/02/2017,31/07/2020,101694.0,South West
2271,EPSRC,Lancaster University,Computing & Communications,Research Grant,31/03/2015,31/03/2019,950403.0,North West
2274,BBSRC,University of Bristol,Biochemistry,Research Grant,01/11/2018,31/10/2021,509888.0,South West
2275,STFC,University of Birmingham,School of Physics and Astronomy,Research Grant,01/07/2016,30/09/2019,5209.0,West Midlands
2276,MRC,University of Leeds,School of Medicine,Research Grant,01/06/2015,31/05/2020,794948.0,Yorkshire and The Humber
2280,MRC,"Queen Mary, University of London",William Harvey Research Institute,Fellowship,04/09/2017,03/09/2019,153263.0,London
2281,MRC,Imperial College London,Dept of Medicine,Research Grant,01/08/2013,30/09/2018,2568010.0,London
2282,EPSRC,Brunel University,Research Support and Development Office,Training Grant,01/10/2017,30/09/2022,333184.0,London
2283,Innovate UK,Nottingham Trent University,,Knowledge Transfer Partnership,01/12/2017,30/11/2020,109376.0,East Midlands
2286,NERC,University of Edinburgh,Sch of Biological Sciences,Research Grant,08/07/2018,07/07/2021,304407.0,Scotland
2287,MRC,University College London,Institute of Neurology,Fellowship,01/05/2015,09/02/2019,657836.0,London
2288,Innovate UK,OMass Technologies Ltd,,Collaborative R&D,01/03/2018,28/02/2021,481722.0,South East
2292,BBSRC,University of Manchester,School of Biological Sciences,Research Grant,01/07/2016,30/06/2019,471180.0,North West
2294,AHRC,University of Stirling,Biological and Environmental Sciences,Research Grant,01/08/2015,31/07/2020,139257.0,Scotland
2295,AHRC,University of Ulster,Sch of Art & Design,Research Grant,01/04/2017,31/12/2018,79515.0,Northern Ireland
2297,BBSRC,King's College London,Diabetes & Nutritional Sciences,Research Grant,01/07/2016,30/06/2019,369489.0,London
2300,MRC,University College London,Cell and Developmental Biology,Research Grant,01/08/2015,31/07/2019,1217590.0,London
2302,Innovate UK,Medaphor Limited,,Collaborative R&D,01/02/2018,30/09/2019,465943.0,Unknown
2307,BBSRC,University College London,Structural Molecular Biology,Training Grant,01/10/2015,30/09/2023,16015170.0,London
2308,EPSRC,University of Cambridge,Chemistry,Research Grant,01/09/2016,31/08/2019,642774.0,East of England
2311,NERC,University of Manchester,Earth Atmospheric and Env Sciences,Research Grant,31/01/2016,30/01/2020,377298.0,North West
2313,EPSRC,University of Manchester,Mechanical Aerospace and Civil Eng,Research Grant,01/08/2017,30/09/2018,756074.0,North West
2314,ESRC,Cardiff University,Sch of Social Sciences,Research Grant,01/04/2017,04/12/2019,683794.0,Wales
2316,Innovate UK,Aston University,,Knowledge Transfer Partnership,01/07/2017,31/08/2019,103198.0,West Midlands
2317,MRC,University of Leeds,School of Medicine,Research Grant,01/08/2017,31/07/2021,714353.0,Yorkshire and The Humber
2318,ESRC,University of Leeds,Sociology & Social Policy,Research Grant,01/08/2015,31/12/2018,198379.0,Yorkshire and The Humber
2320,BBSRC,Earlham Institute,Research Faculty,Research Grant,01/10/2016,30/03/2019,309763.0,East of England
2323,BBSRC,University of Manchester,School of Biological Sciences,Training Grant,01/10/2015,30/09/2019,95042.0,North West
2325,Innovate UK,Newcastle University,,CRD,01/11/2018,31/10/2020,85570.0,North East
2327,BBSRC,London Sch of Hygiene and Trop Medicine,Infectious and Tropical Diseases,Training Grant,01/10/2018,30/09/2022,107034.0,London
2328,STFC,University of Birmingham,School of Physics and Astronomy,Research Grant,01/10/2017,30/09/2019,12045.0,West Midlands
2329,Innovate UK,University of Huddersfield,,CRD,01/09/2018,31/01/2019,59747.0,Yorkshire and The Humber
2330,MRC,University of Oxford,Psychiatry,Research Grant,01/09/2015,30/06/2020,15023315.0,South East
2332,STFC,Durham University,Mathematical Sciences,Training Grant,01/10/2018,30/09/2022,145423.0,North East
2334,MRC,University College London,Institute for Global Health,Research Grant,01/07/2017,30/06/2019,606899.0,London
2336,Innovate UK,Vecotech Limited,,Collaborative R&D,01/07/2018,31/01/2020,220034.0,Unknown
2337,MRC,"Queen Mary, University of London",Blizard Institute of Cell and Molecular,Research Grant,01/04/2017,31/03/2019,384370.0,London
2339,BBSRC,University of Bristol,Chemistry,Research Grant,31/07/2014,30/07/2019,13528180.0,South West
2340,STFC,University College London,Earth Sciences,Training Grant,28/09/2015,27/09/2019,77867.0,London
2341,BBSRC,University of Exeter,Biosciences,Training Grant,01/10/2015,30/09/2019,95042.0,South West
2342,MRC,University of Nottingham,Sch of Physics & Astronomy,Research Grant,01/09/2018,31/08/2021,795786.0,East Midlands
2343,Innovate UK,Block Dox Limited,,EU-Funded,01/10/2017,31/07/2019,184615.0,London
2344,MRC,University of Birmingham,Cancer Sciences,Research Grant,19/09/2016,18/09/2019,521937.0,West Midlands
2346,STFC,University of Sussex,Sch of Engineering and Informatics,Research Grant,31/01/2018,30/01/2021,365861.0,South East
2347,ESRC,University of York,Language and Linguistic Science,Research Grant,01/04/2017,31/03/2020,422536.0,Yorkshire and The Humber
2348,EPSRC,University of Edinburgh,Sch of Physics and Astronomy,Research Grant,01/04/2017,31/03/2021,23625.0,Scotland
2350,MRC,University of Edinburgh,Sch of Biological Sciences,Research Grant,01/07/2015,30/06/2020,1724713.0,Scotland
2351,Innovate UK,Mologic Ltd.,,Small Business Research Initiative,01/02/2018,31/08/2020,1642392.0,East of England
2353,Innovate UK,Knowledge Transfer Network,,CRD,01/04/2018,31/03/2020,1000000.0,South West
2354,EPSRC,University of Glasgow,School of Computing Science,Research Grant,01/01/2017,30/06/2019,909548.0,Scotland
2357,EPSRC,University College London,"Bartlett Sch of Env, Energy & Resources",Research Grant,01/05/2013,31/10/2018,5745855.0,London
2358,EPSRC,University of Glasgow,School of Culture & Creative Arts,Research Grant,01/04/2017,31/03/2020,285010.0,Scotland
2359,MRC,University of Leicester,Diabetes Centre,Research Grant,01/04/2017,30/06/2019,594957.0,East Midlands
2360,MRC,Newcastle University,Institute of Cellular Medicine,Research Grant,01/04/2017,31/03/2021,2825227.0,North East
2361,EPSRC,University of Bristol,Computer Science,Research Grant,01/08/2015,31/07/2019,753510.0,South West
2365,EPSRC,University of Sussex,Sch of Engineering and Informatics,Research Grant,01/08/2017,31/07/2019,100808.0,South East
2366,EPSRC,University of Exeter,Engineering Computer Science and Maths,Research Grant,01/11/2016,31/10/2019,304909.0,South West
2367,Innovate UK,York Instruments LTD,,EU-Funded,01/09/2018,31/08/2020,152164.0,Yorkshire and The Humber
2368,Innovate UK,Pepsico International Limited,,Feasibility Studies,01/03/2015,28/02/2019,871746.0,London
2370,STFC,Durham University,Physics,Research Grant,01/01/2017,31/12/2018,41301.0,North East
2373,MRC,University of East Anglia,Norwich Medical School,Research Grant,01/11/2017,31/10/2020,699423.0,East of England
2381,MRC,Imperial College London,School of Public Health,Research Grant,01/01/2018,31/12/2020,618056.0,London
2382,BBSRC,University of Glasgow,"College of Medical, Veterinary &Life Sci",Research Grant,01/10/2016,14/12/2019,493152.0,Scotland
2386,EPSRC,University College London,"Bartlett Sch of Env, Energy & Resources",Training Grant,01/04/2014,30/09/2022,4248118.0,London
2387,NERC,University of Sheffield,Animal and Plant Sciences,Research Grant,01/03/2016,30/04/2020,599379.0,Yorkshire and The Humber
2389,AHRC,Cardiff University,Journalism Media and Cultural Studies,Research Grant,31/10/2018,30/04/2023,5385951.0,Wales
2390,EPSRC,University of Bath,Chemistry,Research Grant,08/02/2016,07/08/2019,739054.0,South West
2392,BBSRC,University of Exeter,Biosciences,Training Grant,01/10/2018,30/09/2022,99034.0,South West
2393,EPSRC,Imperial College London,Dept of Chemistry,Fellowship,01/03/2018,28/02/2023,1584212.0,London
2394,NERC,Centre for Env Fisheries Aqua Sci CEFAS,CEFAS Lowestoft Laboratory,Research Grant,01/04/2018,31/03/2021,274343.0,East of England
2396,BBSRC,John Innes Centre,Crop Genetics,Research Grant,15/11/2018,14/11/2021,151462.0,East of England
2397,MRC,King's College London,Imaging & Biomedical Engineering,Fellowship,06/03/2017,05/03/2021,1105144.0,London
2399,Innovate UK,R E a P Systems Ltd.,,Collaborative R&D,01/08/2016,31/07/2019,1004645.0,South East
2400,STFC,University of Surrey,Physics,Research Grant,01/03/2017,28/02/2019,6752.0,South East
2406,BBSRC,University of St Andrews,Psychology,Research Grant,01/04/2016,31/03/2019,353443.0,Scotland
2407,EPSRC,University of Strathclyde,Pure and Applied Chemistry,Fellowship,01/12/2017,30/11/2022,904087.0,Scotland
2409,ESRC,University of Manchester,Social Sciences,Research Grant,01/03/2018,31/03/2019,50243.0,North West
2410,BBSRC,Royal Veterinary College,Pathology and Pathogen Biology,Training Grant,01/10/2014,30/09/2019,102126.0,London
2411,BBSRC,University of Nottingham,School of Medicine,Research Grant,01/06/2018,31/05/2021,365159.0,East Midlands
2414,MRC,King's College London,Cancer Studies,Research Grant,01/01/2016,30/04/2019,502383.0,London
2415,BBSRC,University of Aberdeen,Chemistry,Research Grant,01/05/2018,30/04/2021,391034.0,Scotland
2416,MRC,University College London,Institute of Ophthalmology,Research Grant,01/05/2015,28/02/2019,440268.0,London
2417,BBSRC,National Inst of Agricultural Botany,Centre for Research,Research Grant,01/07/2018,30/06/2021,1425859.0,East of England
2419,NERC,University of Leeds,School of Earth and Environment,Research Grant,01/04/2016,31/05/2019,461094.0,Yorkshire and The Humber
2420,STFC,University of York,Physics,Research Grant,01/01/2018,31/12/2018,100064.0,Yorkshire and The Humber
2421,NERC,Newcastle University,Sch of Engineering,Research Grant,01/10/2018,30/09/2021,372201.0,North East
2422,EPSRC,Imperial College London,Dept of Chemistry,Research Grant,12/06/2017,11/06/2020,370464.0,London
2424,Innovate UK,Rolls-Royce plc,,BIS-Funded Programmes,01/07/2018,30/06/2021,14999931.0,London
2426,Innovate UK,The Pirbright Institute,,Small Business Research Initiative,01/09/2017,31/08/2020,2359553.0,South East
2427,Innovate UK,Perspectum Diagnostics Ltd,,Collaborative R&D,01/02/2017,31/03/2019,1116603.0,South East
2429,MRC,University of Leeds,School of Medicine,Research Grant,07/09/2015,31/10/2018,569632.0,Yorkshire and The Humber
2430,ESRC,Newcastle University,Geography Politics and Sociology,Research Grant,01/05/2018,30/04/2020,590751.0,North East
2431,Innovate UK,Kws UK Limited,,Collaborative R&D,01/04/2018,31/03/2021,732917.0,West Midlands
2434,Innovate UK,Snoozeal Limited,,Collaborative R&D,01/07/2017,30/06/2019,393303.0,East Midlands
2435,EPSRC,Imperial College London,Dept of Mechanical Engineering,Fellowship,01/09/2013,15/03/2019,1037830.0,London
2436,AHRC,Open University,Faculty of Arts and Social Sci (FASS),Research Grant,01/06/2018,31/05/2021,159089.0,South East
2437,BBSRC,EMBL - European Bioinformatics Institute,Sequence Database Group,Research Grant,03/09/2018,02/09/2021,891686.0,East of England
2438,AHRC,University of Cambridge,Divinity,Research Grant,01/01/2018,31/12/2018,24188.0,East of England
2439,Innovate UK,Horizon Discovery Limited,,Collaborative R&D,01/04/2017,31/03/2019,764310.0,East of England
2440,EPSRC,University of Cambridge,Engineering,Research Grant,01/08/2015,31/12/2018,1737978.0,East of England
2444,Innovate UK,Rolls-Royce plc,,CRD,01/11/2018,30/04/2022,12500277.0,London
2445,NERC,NERC Centre for Ecology and Hydrology,Soils and Land Use (Bangor),Research Grant,12/11/2015,11/11/2019,165806.0,South East
2447,BBSRC,Scottish Association For Marine Science,Scottish Association For Marine Science,Research Grant,01/10/2017,31/12/2021,5419058.0,Scotland
2448,BBSRC,University of Leeds,School of Biomedical Sciences,Research Grant,02/07/2018,01/07/2022,30612.0,Yorkshire and The Humber
2451,Innovate UK,C-Tech Innovation Limited,,Collaborative R&D,01/08/2015,31/10/2018,383038.0,North West
2454,MRC,King's College London,Psychology,Research Grant,27/11/2017,26/08/2021,1069414.0,London
2456,MRC,University of Dundee,Cellular Medicine,Research Grant,01/09/2016,31/08/2019,595213.0,Scotland
2459,NERC,Cranfield University,"School of Water, Energy and Environment",Research Grant,21/06/2017,20/06/2021,538307.0,East of England
2460,BBSRC,University of Oxford,Plant Sciences,Training Grant,01/10/2017,30/09/2021,98212.0,South East
2461,Innovate UK,Sisaf Ltd,,EU-Funded,01/01/2016,31/12/2018,233387.0,Northern Ireland
2462,EPSRC,University of Southampton,Sch of of Electronics and Computer Sci,Research Grant,25/02/2014,31/12/2018,662804.0,South East
2463,NERC,University of Edinburgh,Sch of Geosciences,Research Grant,01/01/2016,31/12/2019,135187.0,Scotland
2465,EPSRC,University of Warwick,Computer Science,Research Grant,01/01/2016,31/08/2019,490032.0,West Midlands
2466,Innovate UK,Iontas Limited,,EU-Funded,01/09/2016,31/08/2018,174595.0,East of England
2471,BBSRC,King's College London,Pharmaceutical Sciences,Training Grant,01/10/2015,30/09/2019,103042.0,London
2474,Innovate UK,Qmc Instruments Limited,,EU-Funded,01/07/2015,30/06/2018,119461.0,South East
2475,BBSRC,University of Sussex,Sch of Engineering and Informatics,Research Grant,01/01/2018,31/12/2020,434293.0,South East
2479,EPSRC,University of Leeds,Sch of Chemistry,Research Grant,01/03/2018,28/02/2023,5436236.0,Yorkshire and The Humber
2480,ESRC,University of York,Centre for Health Economics,Research Grant,01/08/2017,31/03/2019,158811.0,Yorkshire and The Humber
2481,Innovate UK,Cellular Therapeutics Ltd,,Feasibility Studies,01/02/2018,31/01/2019,67034.0,North West
2484,ESRC,University of Sheffield,Sociological Studies,Research Grant,10/04/2017,09/10/2019,402674.0,Yorkshire and The Humber
2485,Innovate UK,OXIS Energy Limited,,CRD,01/12/2018,30/11/2020,121465.0,South East
2491,ESRC,London School of Economics & Pol Sci,Personal Social Services Research Unit,Research Grant,01/09/2017,31/05/2019,161418.0,London
2494,EPSRC,Heriot-Watt University,Sch of Engineering and Physical Science,Research Grant,01/10/2016,30/09/2018,95775.0,Scotland
2495,STFC,Lancaster University,Physics,Research Grant,01/04/2015,31/08/2018,923884.0,North West
2497,NERC,NERC British Antarctic Survey,Science Programmes,Research Grant,01/12/2015,31/05/2019,123522.0,East of England
2498,BBSRC,University of Oxford,Oxford Chemistry,Research Grant,17/05/2017,16/05/2020,367018.0,South East
2500,EPSRC,Heriot-Watt University,S of Mathematical and Computer Sciences,Research Grant,01/11/2016,30/04/2020,711763.0,Scotland
2503,ESRC,University of Leicester,Economics,Research Grant,01/01/2017,30/06/2019,140101.0,East Midlands
2505,Innovate UK,Discuva Limited,,Collaborative R&D,01/01/2017,31/12/2018,1050000.0,East of England
2507,Innovate UK,Safran Landing Systems UK Ltd,,BIS-Funded Programmes,01/07/2016,31/03/2022,12409807.0,Unknown
2509,BBSRC,Aberystwyth University,IBERS,Training Grant,11/04/2016,10/04/2020,95042.0,Wales
2510,EPSRC,University of Huddersfield,Sch of Computing and Engineering,Research Grant,01/10/2015,31/03/2020,390551.0,Yorkshire and The Humber
2514,Innovate UK,Marlow Foods Limited,,Collaborative R&D,01/09/2016,28/02/2019,265639.0,Yorkshire and The Humber
2515,NERC,Bangor University,Sch of Natural Sciences,Research Grant,01/11/2017,31/12/2018,99491.0,Wales
2517,MRC,Imperial College London,Dept of Medicine,Research Grant,01/07/2017,30/06/2019,167369.0,London
2520,BBSRC,University of Manchester,School of Biological Sciences,Training Grant,01/10/2015,30/09/2019,95042.0,North West
2521,ESRC,University of Bristol,Education,Training Grant,01/10/2017,30/09/2027,6844928.0,South West
2522,NC3Rs,Durham University,Biosciences,Training Grant,01/10/2016,30/09/2019,90000.0,North East
2529,MRC,University of York,Biology,Research Grant,07/04/2018,17/06/2021,407860.0,Yorkshire and The Humber
2531,Innovate UK,Impression Technologies Limited,,Collaborative R&D,01/11/2017,30/04/2020,4785797.0,London
2532,ESRC,Stellenbosch University,Economics,Research Grant,19/05/2016,18/11/2018,384543.0,Outside UK
2533,Innovate UK,Gev Wind Power Limited,,Feasibility Studies,01/12/2017,30/11/2018,542081.0,Unknown
2534,EPSRC,University of Surrey,Mathematics,Research Grant,26/06/2017,25/06/2019,101155.0,South East
2535,AHRC,King's College London,Digital Humanities,Research Grant,01/06/2018,31/05/2019,77052.0,London
2538,MRC,University College London,Medicine,Research Grant,01/12/2018,30/11/2021,458525.0,London
2539,STFC,Cardiff University,School of Physics and Astronomy,Research Grant,01/10/2016,30/09/2020,1303610.0,Wales
2540,Innovate UK,Manchester Metropolitan University,,Knowledge Transfer Partnership,01/09/2017,31/08/2020,141745.0,North West
2541,BBSRC,Rothamsted Research,Directorate,Research Grant,01/11/2017,31/03/2019,128000.0,East of England
2542,EPSRC,University of Bristol,Mathematics,Research Grant,01/06/2018,20/11/2021,343969.0,South West
2544,ESRC,London School of Economics & Pol Sci,LSE Health and Social Care,Research Grant,01/10/2017,31/12/2021,7075027.0,London
2548,BBSRC,Heriot-Watt University,Sch of Engineering and Physical Science,Research Grant,01/07/2018,03/09/2021,563091.0,Scotland
2550,ESRC,University of Manchester,Social Sciences,Research Grant,01/04/2017,31/03/2020,758709.0,North West
2552,Innovate UK,Sustainable Pipeline Systems Limited,,Feasibility Studies,01/04/2017,31/03/2019,685015.0,Scotland
2555,EPSRC,University of Bristol,Mechanical Engineering,Research Grant,20/03/2017,19/09/2018,201747.0,South West
2559,NERC,University of Bristol,Chemistry,Research Grant,04/08/2015,03/02/2019,327594.0,South West
2562,MRC,University College London,Institute of Child Health,Research Grant,21/09/2017,20/09/2019,404871.0,London
2563,Innovate UK,Harper Adams University,,Knowledge Transfer Partnership,01/11/2018,31/10/2021,143919.0,West Midlands
2564,NERC,NERC Centre for Ecology and Hydrology,Water Resources (Wallingford),Research Grant,01/04/2016,14/11/2019,577926.0,South East
2565,NERC,University of Exeter,Engineering Computer Science and Maths,Research Grant,01/05/2017,30/04/2021,1530229.0,South West
2568,ESRC,London School of Economics & Pol Sci,Centre for Economic Performance,Research Grant,01/11/2017,31/10/2018,500872.0,London
2569,EPSRC,University of Sheffield,Materials Science and Engineering,Research Grant,01/11/2016,31/03/2019,306080.0,Yorkshire and The Humber
2570,ESRC,University of Nottingham,Research and Graduate Services,Training Grant,01/10/2011,30/09/2020,7834668.0,East Midlands
2572,MRC,University of Manchester,School of Medical Sciences,Research Grant,02/10/2017,01/10/2020,445546.0,North West
2574,Innovate UK,The Robert Gordon University,,Knowledge Transfer Partnership,01/03/2017,28/02/2019,73638.0,Scotland
2575,Innovate UK,Rolls-Royce plc,,BIS-Funded Programmes,01/04/2017,31/03/2020,3699810.0,London
