,FundingOrgName,LeadROName,Department,ProjectCategory,StartDate,EndDate,AwardPounds,ExpenditurePounds,Region
2437,BBSRC,EMBL - European Bioinformatics Institute,Sequence Database Group,Research Grant,03/09/2018,02/09/2021,891686.0,,East of England
2438,AHRC,University of Cambridge,Divinity,Research Grant,01/01/2018,31/12/2018,24188.0,,East of England
2439,Innovate UK,Horizon Discovery Limited,,Collaborative R&D,01/04/2017,31/03/2019,764310.0,,East of England
2440,EPSRC,University of Cambridge,Engineering,Research Grant,01/08/2015,31/12/2018,1737978.0,,East of England
2441,MRC,University College London,,Intramural,01/06/2017,31/03/2022,,720084.0,London
2442,BBSRC,University of Edinburgh,Biomedical Sciences,Studentship,01/10/2015,30/09/2019,0.0,,Scotland
2443,EPSRC,University of Southampton,Faculty of Engineering & the Environment,Studentship,24/09/2018,30/09/2021,0.0,,South East
2444,Innovate UK,Rolls-Royce plc,,CRD,01/11/2018,30/04/2022,12500277.0,,London
2445,NERC,NERC Centre for Ecology and Hydrology,Soils and Land Use (Bangor),Research Grant,12/11/2015,11/11/2019,165806.0,,South East
2446,EPSRC,University College London,Centre for Advanced Spatial Analysis,Studentship,26/04/2017,25/04/2020,0.0,,London
2447,BBSRC,Scottish Association For Marine Science,Scottish Association For Marine Science,Research Grant,01/10/2017,31/12/2021,5419058.0,,Scotland
2448,BBSRC,University of Leeds,School of Biomedical Sciences,Research Grant,02/07/2018,01/07/2022,30612.0,,Yorkshire and The Humber
2449,STFC,University of York,Physics,Studentship,01/04/2016,30/11/2019,0.0,,Yorkshire and The Humber
2450,ESRC,University of St Andrews,Geography and Sustainable Development,Studentship,27/10/2017,31/01/2021,0.0,,Scotland
2451,Innovate UK,C-Tech Innovation Limited,,Collaborative R&D,01/08/2015,31/10/2018,383038.0,,North West
2452,BBSRC,University of Exeter,University of Exeter Medical School,Studentship,01/10/2017,30/09/2021,0.0,,South West
2453,MRC,Liverpool School of Tropical Medicine,,Intramural,31/03/2018,30/09/2019,,296622.0,North West
2454,MRC,King's College London,Psychology,Research Grant,27/11/2017,26/08/2021,1069414.0,,London
2455,EPSRC,University of Bath,Architecture and Civil Engineering,Studentship,01/10/2016,31/03/2020,0.0,,South West
2456,MRC,University of Dundee,Cellular Medicine,Research Grant,01/09/2016,31/08/2019,595213.0,,Scotland
2457,EPSRC,University of Cambridge,Chemistry,Studentship,01/01/2017,30/09/2020,0.0,,East of England
2458,BBSRC,Royal Veterinary College,Pathology and Pathogen Biology,Studentship,01/10/2015,31/03/2019,0.0,,London
2459,NERC,Cranfield University,"School of Water, Energy and Environment",Research Grant,21/06/2017,20/06/2021,538307.0,,East of England
2460,BBSRC,University of Oxford,Plant Sciences,Training Grant,01/10/2017,30/09/2021,98212.0,,South East
2461,Innovate UK,Sisaf Ltd,,EU-Funded,01/01/2016,31/12/2018,233387.0,,Northern Ireland
2462,EPSRC,University of Southampton,Sch of of Electronics and Computer Sci,Research Grant,25/02/2014,31/12/2018,662804.0,,South East
2463,NERC,University of Edinburgh,Sch of Geosciences,Research Grant,01/01/2016,31/12/2019,135187.0,,Scotland
2464,EPSRC,Imperial College London,Dept of Mathematics,Studentship,01/10/2018,30/03/2022,0.0,,London
2465,EPSRC,University of Warwick,Computer Science,Research Grant,01/01/2016,31/08/2019,490032.0,,West Midlands
2466,Innovate UK,Iontas Limited,,EU-Funded,01/09/2016,31/08/2018,174595.0,,East of England
2467,STFC,University of Cambridge,Institute of Astronomy,Studentship,01/10/2017,31/03/2021,0.0,,East of England
2468,MRC,University of Edinburgh,,Intramural,01/02/2016,29/02/2020,,2000000.0,Scotland
2469,EPSRC,University of Leeds,Sch of Chemistry,Studentship,01/10/2018,30/09/2022,0.0,,Yorkshire and The Humber
2470,ESRC,University of Liverpool,Geography and Planning,Studentship,24/09/2018,23/09/2022,0.0,,North West
2471,BBSRC,King's College London,Pharmaceutical Sciences,Training Grant,01/10/2015,30/09/2019,103042.0,,London
2472,EPSRC,University of Manchester,Mathematics,Studentship,18/09/2017,31/03/2021,0.0,,North West
2473,BBSRC,University of Oxford,Interdisciplinary Bioscience DTP,Studentship,01/10/2016,30/09/2020,0.0,,South East
2474,Innovate UK,Qmc Instruments Limited,,EU-Funded,01/07/2015,30/06/2018,119461.0,,South East
2475,BBSRC,University of Sussex,Sch of Engineering and Informatics,Research Grant,01/01/2018,31/12/2020,434293.0,,South East
2476,ESRC,Loughborough University,Social Sciences,Studentship,01/10/2018,30/09/2022,0.0,,East Midlands
2477,EPSRC,University of Birmingham,School of Chemistry,Studentship,01/10/2016,30/09/2019,0.0,,West Midlands
2478,ESRC,University of Oxford,Criminology Centre,Studentship,01/10/2018,30/09/2021,0.0,,South East
2479,EPSRC,University of Leeds,Sch of Chemistry,Research Grant,01/03/2018,28/02/2023,5436236.0,,Yorkshire and The Humber
2480,ESRC,University of York,Centre for Health Economics,Research Grant,01/08/2017,31/03/2019,158811.0,,Yorkshire and The Humber
2481,Innovate UK,Cellular Therapeutics Ltd,,Feasibility Studies,01/02/2018,31/01/2019,67034.0,,North West
2482,ESRC,Cardiff University,Cardiff Law School,Studentship,01/10/2017,30/09/2022,0.0,,Wales
2483,ESRC,University of Nottingham,Sch of Psychology,Studentship,01/10/2018,31/03/2022,0.0,,East Midlands
2484,ESRC,University of Sheffield,Sociological Studies,Research Grant,10/04/2017,09/10/2019,402674.0,,Yorkshire and The Humber
2485,Innovate UK,OXIS Energy Limited,,CRD,01/12/2018,30/11/2020,121465.0,,South East
2486,BBSRC,University College London,Structural Molecular Biology,Studentship,01/10/2015,30/09/2019,0.0,,London
2487,STFC,University of Manchester,Earth Atmospheric and Env Sciences,Studentship,02/09/2017,31/03/2021,0.0,,North West
2488,EPSRC,University of Sheffield,Physics and Astronomy,Studentship,01/09/2017,31/08/2020,0.0,,Yorkshire and The Humber
2489,STFC,University of Manchester,Physics and Astronomy,Studentship,21/09/2015,31/03/2019,0.0,,North West
2490,ESRC,London School of Economics & Pol Sci,Anthropology,Studentship,01/10/2018,30/09/2022,0.0,,London
2491,ESRC,London School of Economics & Pol Sci,Personal Social Services Research Unit,Research Grant,01/09/2017,31/05/2019,161418.0,,London
2492,EPSRC,University College London,Physics and Astronomy,Studentship,24/04/2017,23/04/2021,0.0,,London
2493,BBSRC,University of East Anglia,Graduate Office,Studentship,01/01/2016,31/12/2019,0.0,,East of England
2494,EPSRC,Heriot-Watt University,Sch of Engineering and Physical Science,Research Grant,01/10/2016,30/09/2018,95775.0,,Scotland
2495,STFC,Lancaster University,Physics,Research Grant,01/04/2015,31/08/2018,923884.0,,North West
2496,EPSRC,University of Nottingham,Sch of Chemistry,Studentship,01/10/2018,31/03/2022,0.0,,East Midlands
2497,NERC,NERC British Antarctic Survey,Science Programmes,Research Grant,01/12/2015,31/05/2019,123522.0,,East of England
2498,BBSRC,University of Oxford,Oxford Chemistry,Research Grant,17/05/2017,16/05/2020,367018.0,,South East
2499,BBSRC,University of Cambridge,Pharmacology,Studentship,01/10/2018,30/09/2022,0.0,,East of England
2500,EPSRC,Heriot-Watt University,S of Mathematical and Computer Sciences,Research Grant,01/11/2016,30/04/2020,711763.0,,Scotland
2501,BBSRC,Imperial College London,Department of Chemical Engineering,Studentship,30/09/2017,30/09/2021,0.0,,London
2502,EPSRC,University College London,Chemical Engineering,Studentship,23/09/2018,30/09/2022,0.0,,London
2503,ESRC,University of Leicester,Economics,Research Grant,01/01/2017,30/06/2019,140101.0,,East Midlands
2504,ESRC,University of Sheffield,Psychology,Studentship,25/09/2017,30/09/2021,0.0,,Yorkshire and The Humber
2505,Innovate UK,Discuva Limited,,Collaborative R&D,01/01/2017,31/12/2018,1050000.0,,East of England
2506,EPSRC,University of St Andrews,Chemistry,Studentship,27/09/2017,31/03/2021,0.0,,Scotland
2507,Innovate UK,Safran Landing Systems UK Ltd,,BIS-Funded Programmes,01/07/2016,31/03/2022,12409807.0,,Unknown
2508,MRC,University of Edinburgh,Sch of Molecular. Genetics & Pop Health,Studentship,01/09/2018,28/02/2022,0.0,,Scotland
2509,BBSRC,Aberystwyth University,IBERS,Training Grant,11/04/2016,10/04/2020,95042.0,,Wales
2510,EPSRC,University of Huddersfield,Sch of Computing and Engineering,Research Grant,01/10/2015,31/03/2020,390551.0,,Yorkshire and The Humber
2511,MRC,University of Warwick,Warwick Medical School,Studentship,02/10/2017,30/10/2021,0.0,,West Midlands
2512,NERC,NERC British Geological Survey,,Intramural,01/04/2013,31/03/2019,,7235007.0,East Midlands
2513,ESRC,King's College London,Dickson Poon School of Law Departments,Studentship,01/10/2017,31/10/2020,0.0,,London
2514,Innovate UK,Marlow Foods Limited,,Collaborative R&D,01/09/2016,28/02/2019,265639.0,,Yorkshire and The Humber
2515,NERC,Bangor University,Sch of Natural Sciences,Research Grant,01/11/2017,31/12/2018,99491.0,,Wales
2516,BBSRC,University of Cambridge,Plant Sciences,Studentship,01/10/2015,30/09/2019,0.0,,East of England
2517,MRC,Imperial College London,Dept of Medicine,Research Grant,01/07/2017,30/06/2019,167369.0,,London
2518,STFC,University of Oxford,Oxford Physics,Studentship,01/10/2016,31/03/2019,0.0,,South East
2519,EPSRC,University of Bath,Computer Science,Studentship,01/10/2017,31/03/2021,0.0,,South West
2520,BBSRC,University of Manchester,School of Biological Sciences,Training Grant,01/10/2015,30/09/2019,95042.0,,North West
2521,ESRC,University of Bristol,Education,Training Grant,01/10/2017,30/09/2027,6844928.0,,South West
2522,NC3Rs,Durham University,Biosciences,Training Grant,01/10/2016,30/09/2019,90000.0,,North East
2523,BBSRC,Imperial College London,Life Sciences,Studentship,01/10/2016,30/09/2020,0.0,,London
2524,EPSRC,King's College London,Mathematics,Studentship,01/10/2018,31/03/2022,0.0,,London
2525,EPSRC,University of Glasgow,School of Engineering,Studentship,03/04/2018,02/10/2021,0.0,,Scotland
2526,EPSRC,University of Leeds,Electronic and Electrical Engineering,Studentship,01/10/2018,31/03/2022,0.0,,Yorkshire and The Humber
2527,ESRC,Cardiff University,Cardiff Business School,Studentship,01/10/2018,30/09/2022,0.0,,Wales
2528,EPSRC,University of Leeds,Mechanical Engineering,Studentship,01/04/2017,30/09/2020,0.0,,Yorkshire and The Humber
2529,MRC,University of York,Biology,Research Grant,07/04/2018,17/06/2021,407860.0,,Yorkshire and The Humber
2530,EPSRC,University of Bristol,Mechanical Engineering,Studentship,10/12/2018,09/06/2022,0.0,,South West
2531,Innovate UK,Impression Technologies Limited,,Collaborative R&D,01/11/2017,30/04/2020,4785797.0,,London
2532,ESRC,Stellenbosch University,Economics,Research Grant,19/05/2016,18/11/2018,384543.0,,Outside UK
2533,Innovate UK,Gev Wind Power Limited,,Feasibility Studies,01/12/2017,30/11/2018,542081.0,,Unknown
2534,EPSRC,University of Surrey,Mathematics,Research Grant,26/06/2017,25/06/2019,101155.0,,South East
2535,AHRC,King's College London,Digital Humanities,Research Grant,01/06/2018,31/05/2019,77052.0,,London
2536,BBSRC,University of Leeds,Sch of Molecular & Cellular Biology,Studentship,01/10/2018,30/09/2022,0.0,,Yorkshire and The Humber
2537,STFC,University of Warwick,Physics,Studentship,05/10/2015,31/03/2019,0.0,,West Midlands
2538,MRC,University College London,Medicine,Research Grant,01/12/2018,30/11/2021,458525.0,,London
2539,STFC,Cardiff University,School of Physics and Astronomy,Research Grant,01/10/2016,30/09/2020,1303610.0,,Wales
2540,Innovate UK,Manchester Metropolitan University,,Knowledge Transfer Partnership,01/09/2017,31/08/2020,141745.0,,North West
2541,BBSRC,Rothamsted Research,Directorate,Research Grant,01/11/2017,31/03/2019,128000.0,,East of England
2542,EPSRC,University of Bristol,Mathematics,Research Grant,01/06/2018,20/11/2021,343969.0,,South West
2543,ESRC,University of East Anglia,International Development,Studentship,01/10/2017,30/09/2020,0.0,,East of England
2544,ESRC,London School of Economics & Pol Sci,LSE Health and Social Care,Research Grant,01/10/2017,31/12/2021,7075027.0,,London
2545,EPSRC,University of Sheffield,Electronic and Electrical Engineering,Studentship,05/12/2016,05/06/2020,0.0,,Yorkshire and The Humber
2546,BBSRC,University of Leeds,Ctr for Plant Sciences,Studentship,01/10/2017,30/09/2021,0.0,,Yorkshire and The Humber
2547,EPSRC,University of Exeter,Engineering Computer Science and Maths,Studentship,01/10/2016,31/03/2020,0.0,,South West
2548,BBSRC,Heriot-Watt University,Sch of Engineering and Physical Science,Research Grant,01/07/2018,03/09/2021,563091.0,,Scotland
2549,BBSRC,University of York,Biology,Studentship,01/10/2017,30/09/2021,0.0,,Yorkshire and The Humber
2550,ESRC,University of Manchester,Social Sciences,Research Grant,01/04/2017,31/03/2020,758709.0,,North West
2551,BBSRC,Babraham Institute,UNLISTED,Intramural,01/04/2017,31/03/2020,,421154.0,East of England
2552,Innovate UK,Sustainable Pipeline Systems Limited,,Feasibility Studies,01/04/2017,31/03/2019,685015.0,,Scotland
2553,NERC,Imperial College London,Life Sciences,Studentship,01/10/2017,01/04/2021,0.0,,London
2554,BBSRC,University of Oxford,Interdisciplinary Bioscience DTP,Studentship,01/10/2018,30/09/2022,0.0,,South East
2555,EPSRC,University of Bristol,Mechanical Engineering,Research Grant,20/03/2017,19/09/2018,201747.0,,South West
2556,MRC,University of Sheffield,Oncology and Metabolism,Studentship,17/09/2018,16/09/2022,0.0,,Yorkshire and The Humber
2557,BBSRC,University of Birmingham,Sch of Biosciences,Studentship,21/09/2015,30/09/2019,0.0,,West Midlands
2558,BBSRC,University of Sheffield,Molecular Biology and Biotechnology,Studentship,01/10/2016,01/10/2020,0.0,,Yorkshire and The Humber
2559,NERC,University of Bristol,Chemistry,Research Grant,04/08/2015,03/02/2019,327594.0,,South West
2560,MRC,University of Liverpool,Institute of Integrative Biology,Studentship,01/10/2017,31/03/2021,0.0,,North West
2561,BBSRC,King's College London,Pharmaceutical Sciences,Studentship,01/10/2015,30/09/2019,0.0,,London
2562,MRC,University College London,Institute of Child Health,Research Grant,21/09/2017,20/09/2019,404871.0,,London
2563,Innovate UK,Harper Adams University,,Knowledge Transfer Partnership,01/11/2018,31/10/2021,143919.0,,West Midlands
2564,NERC,NERC Centre for Ecology and Hydrology,Water Resources (Wallingford),Research Grant,01/04/2016,14/11/2019,577926.0,,South East
2565,NERC,University of Exeter,Engineering Computer Science and Maths,Research Grant,01/05/2017,30/04/2021,1530229.0,,South West
2566,EPSRC,"Royal Holloway, University of London",Information Security,Studentship,24/09/2018,30/09/2022,0.0,,South East
2567,MRC,MRC Laboratory of Molecular Biology,,Intramural,01/10/2012,,,1630787.0,East of England
2568,ESRC,London School of Economics & Pol Sci,Centre for Economic Performance,Research Grant,01/11/2017,31/10/2018,500872.0,,London
2569,EPSRC,University of Sheffield,Materials Science and Engineering,Research Grant,01/11/2016,31/03/2019,306080.0,,Yorkshire and The Humber
2570,ESRC,University of Nottingham,Research and Graduate Services,Training Grant,01/10/2011,30/09/2020,7834668.0,,East Midlands
2571,STFC,University of Liverpool,Physics,Studentship,01/12/2015,31/05/2020,0.0,,North West
2572,MRC,University of Manchester,School of Medical Sciences,Research Grant,02/10/2017,01/10/2020,445546.0,,North West
2573,MRC,Imperial College London,School of Public Health,Studentship,01/10/2017,31/03/2021,0.0,,London
2574,Innovate UK,The Robert Gordon University,,Knowledge Transfer Partnership,01/03/2017,28/02/2019,73638.0,,Scotland
2575,Innovate UK,Rolls-Royce plc,,BIS-Funded Programmes,01/04/2017,31/03/2020,3699810.0,,London
2576,EPSRC,Brunel University,"Mech. Engineering, Aerospace & Civil Eng",Studentship,01/11/2016,31/10/2019,0.0,,London
2577,Innovate UK,Rolls-Royce plc,,CRD,01/11/2018,30/06/2022,8912011.0,,London
2578,Innovate UK,University of Westminster,,Knowledge Transfer Partnership,01/07/2016,30/06/2019,140064.0,,London
2579,BBSRC,University College London,Cell and Developmental Biology,Studentship,01/10/2017,30/09/2021,0.0,,London
2580,EPSRC,University of Surrey,Surrey Space Centre Academic,Fellowship,27/06/2018,26/06/2021,524716.0,,South East
2581,NERC,University of Leicester,National Centre for Earth Observation,Research Grant,01/01/2018,31/03/2020,882317.0,,East Midlands
2582,EPSRC,Durham University,Physics,Studentship,01/10/2015,30/09/2019,0.0,,North East
2583,EPSRC,University College London,Electronic and Electrical Engineering,Studentship,26/09/2016,30/09/2020,0.0,,London
2584,EPSRC,University of Sheffield,Physics and Astronomy,Studentship,01/10/2017,30/09/2021,0.0,,Yorkshire and The Humber
2585,EPSRC,University of Warwick,Physics,Studentship,01/10/2018,31/03/2022,0.0,,West Midlands
2586,MRC,King's College London,Immunology Infection and Inflam Diseases,Studentship,01/10/2018,30/09/2022,0.0,,London
2587,EPSRC,Durham University,Mathematical Sciences,Studentship,01/10/2017,30/09/2021,0.0,,North East
2588,EPSRC,University of Cambridge,Engineering,Studentship,01/10/2018,30/09/2021,0.0,,East of England
2589,STFC,Open University,"Faculty of Sci, Tech, Eng & Maths (STEM)",Research Grant,01/04/2017,31/03/2020,1191589.0,,South East
2590,EPSRC,University of Glasgow,Research and Enterprise,Training Grant,01/10/2015,30/09/2019,2854312.0,,Scotland
2591,ESRC,University of Edinburgh,Sch of Philosophy Psychology & Language,Studentship,01/10/2017,31/12/2020,0.0,,Scotland
2592,BBSRC,University of Oxford,Oxford Physics,Research Grant,01/04/2018,31/03/2021,300000.0,,South East
2593,BBSRC,University of Manchester,Chemistry,Studentship,01/10/2017,30/09/2021,0.0,,North West
2594,MRC,University of Cambridge,Clinical Neurosciences,Research Grant,31/10/2018,05/10/2019,233372.0,,East of England
2595,EPSRC,Queen's University of Belfast,Electronics Electrical Eng and Comp Sci,Studentship,01/10/2016,31/03/2020,0.0,,Northern Ireland
2596,EPSRC,University of Oxford,Environmental Change Institute SoGE,Research Grant,01/04/2018,31/03/2023,19435274.0,,South East
2597,EPSRC,University of Central Lancashire,Sch of Physical Sciences and Computing,Research Grant,01/11/2018,31/10/2021,244142.0,,North West
2598,BBSRC,University of East Anglia,Graduate Office,Studentship,01/10/2018,30/09/2022,0.0,,East of England
2599,MRC,University of York,Biology,Research Grant,14/01/2016,13/07/2019,269468.0,,Yorkshire and The Humber
2600,BBSRC,Cranfield University,"School of Water, Energy and Environment",Research Grant,01/10/2016,30/09/2019,275733.0,,East of England
2601,EPSRC,University of Warwick,Physics,Training Grant,01/10/2018,31/03/2020,103995.0,,West Midlands
2602,EPSRC,University of Sheffield,Materials Science and Engineering,Studentship,26/09/2016,30/09/2020,0.0,,Yorkshire and The Humber
2603,BBSRC,SRUC,Research,Research Grant,02/02/2017,01/02/2020,281664.0,,Scotland
2604,NERC,University of Hull,Geography,Research Grant,14/11/2017,13/09/2018,105548.0,,Yorkshire and The Humber
2605,MRC,University of Cambridge,Biochemistry,Studentship,01/10/2016,31/03/2020,0.0,,East of England
2606,NERC,University College London,Earth Sciences,Fellowship,20/10/2017,19/10/2022,736949.0,,London
2607,EPSRC,Cardiff University,School of Physics and Astronomy,Research Grant,01/05/2017,30/04/2021,653987.0,,Wales
2608,Innovate UK,PROKARIUM Limited,,Small Business Research Initiative,01/10/2016,31/12/2018,1035557.0,,West Midlands
2609,MRC,Imperial College London,Life Sciences,Research Grant,09/05/2016,08/05/2019,455466.0,,London
2610,EPSRC,University of Oxford,Computer Science,Studentship,02/10/2017,30/09/2021,0.0,,South East
2611,EPSRC,University of St Andrews,Physics and Astronomy,Fellowship,01/12/2017,30/11/2022,1220781.0,,Scotland
2612,NERC,University of Leeds,Sch of Geography,Research Grant,01/09/2018,31/08/2023,2952154.0,,Yorkshire and The Humber
2613,NC3Rs,University of Manchester,Medical and Human Sciences,Training Grant,14/09/2017,13/09/2020,90000.0,,North West
2614,EPSRC,University of Glasgow,School of Engineering,Studentship,08/01/2018,07/07/2021,0.0,,Scotland
2615,STFC,University of Oxford,Oxford Physics,Studentship,01/10/2017,31/03/2021,0.0,,South East
2616,EPSRC,Imperial College London,Dept of Physics,Studentship,01/10/2018,30/09/2019,0.0,,London
2617,MRC,University of Southampton,Human Development and Health,Studentship,01/10/2017,30/09/2020,0.0,,South East
2618,STFC,Keele University,Faculty of Natural Sciences,Studentship,01/10/2016,30/09/2019,0.0,,West Midlands
2619,ESRC,Imperial College London,School of Public Health,Studentship,01/10/2018,30/09/2022,0.0,,London
2620,BBSRC,University of Oxford,Interdisciplinary Bioscience DTP,Studentship,01/10/2016,30/09/2020,0.0,,South East
2621,EPSRC,University of Southampton,Sch of Mathematical Sciences,Research Grant,02/10/2017,01/04/2019,100929.0,,South East
2622,EPSRC,University of Southampton,Research and Innovation Services,Training Grant,01/10/2013,30/09/2018,617832.0,,South East
2623,EPSRC,University of Birmingham,School of Mathematics,Studentship,25/09/2017,31/03/2021,0.0,,West Midlands
2624,NERC,Imperial College London,Dept of Computing,Fellowship,01/09/2013,22/12/2018,501588.0,,London
2625,Innovate UK,Imutex Limited,,Small Business Research Initiative,01/09/2017,29/02/2020,3600000.0,,London
2626,EPSRC,Loughborough University,"Wolfson Sch of Mech, Elec & Manufac Eng",Research Grant,01/12/2018,30/11/2021,406203.0,,East Midlands
2627,NERC,University of Exeter,Engineering Computer Science and Maths,Research Grant,01/09/2016,31/08/2019,330261.0,,South West
2628,EPSRC,University of Oxford,Mathematical Institute,Research Grant,01/10/2015,30/09/2018,374787.0,,South East
2629,BBSRC,University of York,Chemistry,Studentship,01/10/2016,30/09/2020,0.0,,Yorkshire and The Humber
2630,BBSRC,John Innes Centre,Crop Genetics,Research Grant,01/12/2018,30/11/2021,424870.0,,East of England
2631,EPSRC,University of Oxford,Biochemistry,Studentship,29/09/2016,30/09/2019,0.0,,South East
2632,EPSRC,"Queen Mary, University of London",Sch of Biological and Chemical Sciences,Studentship,01/10/2017,31/03/2021,0.0,,London
2633,EPSRC,Lancaster University,Physics,Research Grant,01/01/2017,31/12/2020,608816.0,,North West
2634,EPSRC,University of Strathclyde,Physics,Studentship,01/10/2017,30/09/2021,0.0,,Scotland
2635,AHRC,University of Surrey,English,Research Grant,01/09/2016,31/08/2019,446039.0,,South East
2636,STFC,University of Sussex,Sch of Mathematical & Physical Sciences,Research Grant,01/10/2018,31/03/2020,10000.0,,South East
2637,MRC,University of Oxford,Wellcome Trust Centre for Human Genetics,Fellowship,16/01/2017,09/01/2021,229023.0,,South East
2638,BBSRC,The Pirbright Institute,UNLISTED,Intramural,01/04/2017,31/03/2020,,3221778.0,South East
2639,MRC,University of Edinburgh,,Intramural,31/03/2018,31/03/2019,,600000.0,Scotland
2640,BBSRC,University of Edinburgh,The Roslin Institute,Research Grant,13/11/2017,12/11/2020,471945.0,,Scotland
2641,Innovate UK,Cellular Systems (Grantham) Limited,,Feasibility Studies,01/03/2018,28/02/2019,75993.0,,East Midlands
2642,EPSRC,Newcastle University,Sch of Engineering,Research Grant,01/06/2016,30/11/2019,668224.0,,North East
2643,EPSRC,University of Strathclyde,"Naval Architecture, Ocean & Marine Eng",Studentship,01/01/2018,30/06/2021,0.0,,Scotland
2644,EPSRC,University of Oxford,Mathematical Institute,Studentship,01/10/2017,31/03/2021,0.0,,South East
2645,EPSRC,University of Birmingham,Chemical Engineering,Research Grant,01/01/2018,31/12/2020,450148.0,,West Midlands
2646,EPSRC,University of Warwick,Physics,Studentship,01/10/2018,31/03/2022,0.0,,West Midlands
2647,EPSRC,Swansea University,School of Engineering,Training Grant,01/10/2011,30/09/2018,1248000.0,,Wales
2648,Innovate UK,Cardiff University,,CRD,01/11/2018,31/10/2021,122251.0,,Wales
2649,EPSRC,University of Cambridge,Computer Laboratory,Studentship,01/10/2017,31/03/2021,0.0,,East of England
2650,BBSRC,Heriot-Watt University,Sch of Engineering and Physical Science,Studentship,01/10/2018,30/09/2022,0.0,,Scotland
2651,EPSRC,University of Liverpool,Computer Science,Research Grant,08/09/2014,07/03/2019,640791.0,,North West
2652,BBSRC,Imperial College London,Institute of Clinical Sciences,Research Grant,06/06/2018,05/06/2021,472382.0,,London
2653,Innovate UK,Meggitt Aerospace Limited,,BIS-Funded Programmes,01/09/2017,31/08/2020,3729357.0,,South West
2654,MRC,University of Oxford,Social Policy and Intervention,Research Grant,01/07/2018,31/12/2021,696716.0,,South East
2655,BBSRC,University of Edinburgh,Sch of Biological Sciences,Research Grant,01/07/2015,30/06/2019,785032.0,,Scotland
2656,Innovate UK,Care Quality Commission,,CRD,01/10/2018,31/03/2020,494703.0,,Unknown
2657,MRC,University of Liverpool,Institute of Translational Medicine,Studentship,01/10/2016,30/09/2019,0.0,,North West
2658,MRC,Cardiff University,School of Medicine,Studentship,01/10/2016,31/03/2020,0.0,,Wales
2659,STFC,University College London,Physics and Astronomy,Studentship,24/09/2018,30/09/2022,0.0,,London
2660,EPSRC,University of Birmingham,Chemical Engineering,Research Grant,01/12/2017,12/07/2019,99441.0,,West Midlands
2661,EPSRC,University of Southampton,Optoelectronics Research Centre,Studentship,28/09/2017,31/03/2021,0.0,,South East
2662,MRC,University of Exeter,Psychology,Research Grant,08/06/2015,07/01/2020,1046793.0,,South West
2663,BBSRC,University of Oxford,Interdisciplinary Bioscience DTP,Studentship,01/10/2017,30/09/2021,0.0,,South East
2664,EPSRC,Imperial College London,Electrical and Electronic Engineering,Research Grant,19/12/2016,18/12/2019,1335435.0,,London
2665,NERC,Durham University,Earth Sciences,Research Grant,01/10/2017,30/09/2019,37701.0,,North East
2666,MRC,University of Sheffield,Health and Related Research,Research Grant,01/09/2017,28/02/2019,150105.0,,Yorkshire and The Humber
2667,Innovate UK,Newcastle University,,CRD,01/10/2018,31/01/2021,172716.0,,North East
2668,BBSRC,University of Kent,Sch of Biosciences,Research Grant,20/10/2014,19/10/2019,3484653.0,,South East
2669,BBSRC,University of Exeter,Biosciences,Studentship,01/10/2018,30/09/2022,0.0,,South West
2670,NERC,Centre for Env Fisheries Aqua Sci CEFAS,CEFAS Lowestoft Laboratory,Research Grant,24/02/2014,31/03/2019,384766.0,,East of England
2671,Innovate UK,University of Cambridge,,CRD,01/09/2018,31/08/2020,1999926.0,,East of England
2672,STFC,University of Surrey,Physics,Studentship,01/10/2017,30/09/2020,0.0,,South East
2673,ESRC,University of Portsmouth,Psychology,Studentship,01/10/2017,30/09/2021,0.0,,South East
2674,EPSRC,Goldsmiths College,Computing Department,Research Grant,26/06/2017,31/08/2019,99991.0,,London
2675,EPSRC,University of Huddersfield,Research and Enterprise,Training Grant,01/10/2018,31/03/2020,34635.0,,Yorkshire and The Humber
2676,STFC,University College London,Physics and Astronomy,Research Grant,01/04/2017,31/03/2020,65308.0,,London
2677,EPSRC,University of Bath,Chemical Engineering,Research Grant,01/03/2016,29/02/2020,3182328.0,,South West
2678,BBSRC,University of Sheffield,Neurosciences,Studentship,01/10/2018,30/09/2022,0.0,,Yorkshire and The Humber
2679,BBSRC,University of Reading,Food and Nutritional Sciences,Research Grant,13/03/2017,12/03/2020,410749.0,,South East
2680,EPSRC,University of Nottingham,Horizon Digital Economy Research,Research Grant,05/09/2018,04/09/2020,1011786.0,,East Midlands
2681,BBSRC,Cardiff University,Sch of Psychology,Studentship,01/10/2017,30/09/2021,0.0,,Wales
2682,BBSRC,Royal Veterinary College,Production and Population Health,Studentship,01/12/2015,29/02/2020,0.0,,London
2683,EPSRC,University College London,Electronic and Electrical Engineering,Studentship,22/12/2016,21/12/2020,0.0,,London
2684,MRC,University of Oxford,Biochemistry,Research Grant,12/02/2013,11/02/2019,1979847.0,,South East
2685,MRC,University College London,Institute of Neurology,Research Grant,01/04/2018,31/08/2022,1991577.0,,London
2686,EPSRC,Imperial College London,Dept of Bioengineering,Research Grant,01/07/2014,30/09/2018,2907114.0,,London
2687,EPSRC,University of Leeds,Sch of Chemistry,Studentship,01/10/2017,31/03/2021,0.0,,Yorkshire and The Humber
2688,EPSRC,Heriot-Watt University,Sch of Engineering and Physical Science,Research Grant,01/11/2015,31/03/2019,351844.0,,Scotland
