,Provider_Name,Value,Year
454,HAVERING COLLEGE OF FURTHER AND HIGHER EDUCATION,"2,501,447",2012
455,HEART OF WORCESTERSHIRE COLLEGE,"2,788,146",2012
456,HENLEY COLLEGE COVENTRY,"420,061",2012
457,HEREFORD COLLEGE OF ARTS,"910,403",2012
458,HEREFORDSHIRE AND LUDLOW COLLEGE,"83,718",2012
459,HIGHBURY COLLEGE PORTSMOUTH,"407,984",2012
460,HOLY CROSS COLLEGE,"60,467",2012
461,HOPWOOD HALL COLLEGE,"338,431",2012
462,HUGH BAIRD COLLEGE,"37,176",2012
463,HULL COLLEGE,"3,705,530",2012
464,KENDAL COLLEGE,"13,880",2012
465,KENSINGTON AND CHELSEA COLLEGE,"37,054",2012
466,KINGSTON COLLEGE,"318,050",2012
467,KINGSTON MAURWARD COLLEGE,"38,000",2012
468,KIRKLEES COLLEGE,"695,241",2012
469,KNOWSLEY COMMUNITY COLLEGE,"16,358",2012
470,LAKES COLLEGE WEST CUMBRIA,"698,117",2012
471,LEEDS CITY COLLEGE,"3,901,891",2012
472,LEEDS COLLEGE OF BUILDING,"25,931",2012
473,LEICESTER COLLEGE,"738,776",2012
474,LESOCO,"142,490",2012
475,LINCOLN COLLEGE,"529,954",2012
476,THE CITY OF LIVERPOOL COLLEGE,"851,883",2012
477,LOUGHBOROUGH COLLEGE,"1,777,830",2012
478,MACCLESFIELD COLLEGE,"1,463,617",2012
479,THE MANCHESTER COLLEGE,"2,807,702",2012
480,MID-KENT COLLEGE,"129,293",2012
481,MILTON KEYNES COLLEGE,"70,874",2012
482,MOULTON COLLEGE,"735,917",2012
483,MYERSCOUGH COLLEGE,"112,555",2012
484,NCG,"6,757,572",2012
485,NEWBURY COLLEGE,"139,840",2012
486,NEWHAM COLLEGE OF FURTHER EDUCATION,"265,787",2012
487,NORTH EAST SURREY COLLEGE OF TECHNOLOGY (NESCOT),"973,283",2012
488,NORTH HERTFORDSHIRE COLLEGE,"27,661",2012
489,NORTH LINDSEY COLLEGE,"1,637,316",2012
490,NORTH NOTTINGHAMSHIRE COLLEGE,"53,967",2012
491,NORTH WARWICKSHIRE AND HINCKLEY COLLEGE,"551,848",2012
492,NORTH WEST KENT COLLEGE,"27,425",2012
493,THE COLLEGE OF NORTH WEST LONDON,"379,845",2012
494,NORTHBROOK COLLEGE SUSSEX,"2,335,087",2012
495,NORTHUMBERLAND COLLEGE,"456,893",2012
496,CITY COLLEGE NORWICH,"181,527",2012
497,NEW COLLEGE NOTTINGHAM (NCN),"1,405,309",2012
498,THE OLDHAM COLLEGE,"739,632",2012
499,PETER SYMONDS COLLEGE,"32,716",2012
500,PETERBOROUGH REGIONAL COLLEGE,"28,066",2012
501,PETROC,"12,890",2012
502,PLUMPTON COLLEGE,"117,616",2012
503,CITY COLLEGE PLYMOUTH,"146,907",2012
504,PRESTON COLLEGE,"22,295",2012
505,REASEHEATH COLLEGE,"211,665",2012
506,RICHARD HUISH COLLEGE,"12,890",2012
507,RICHMOND UPON THAMES COLLEGE,"32,592",2012
508,RIVERSIDE COLLEGE,"876,955",2012
509,ROTHERHAM COLLEGE OF ARTS AND TECHNOLOGY,"522,434",2012
510,RUNSHAW COLLEGE,"87,045",2012
511,RUSKIN COLLEGE,"511,417",2012
512,SALFORD CITY COLLEGE,"67,443",2012
513,SANDWELL COLLEGE,"54,819",2012
514,SELBY COLLEGE,"46,458",2012
515,THE SHEFFIELD COLLEGE,"732,573",2012
516,SOLIHULL COLLEGE,"884,193",2012
517,SOMERSET COLLEGE,"415,554",2012
518,SOUTH & CITY COLLEGE BIRMINGHAM,"209,135",2012
519,SOUTH DEVON COLLEGE,"16,358",2012
520,SOUTH DOWNS COLLEGE,"262,239",2012
521,SOUTH ESSEX COLLEGE OF FURTHER AND HIGHER EDUCATION,"58,981",2012
522,SOUTH GLOUCESTERSHIRE AND STROUD COLLEGE,"228,835",2012
523,SOUTH LEICESTERSHIRE COLLEGE,"108,149",2012
524,SOUTH THAMES COLLEGE,"164,591",2012
525,SOUTH TYNESIDE COLLEGE,"1,444,717",2012
526,SOUTHAMPTON CITY COLLEGE,"81,947",2012
527,SOUTHPORT COLLEGE,"17,845",2012
528,SPARSHOLT COLLEGE,"1,682,313",2012
529,ST HELENS COLLEGE,"1,889,788",2012
530,ST MARY'S COLLEGE,"12,890",2012
531,NEW COLLEGE STAMFORD,"293,594",2012
532,STEPHENSON COLLEGE,"553,436",2012
533,STOCKPORT COLLEGE,"2,267,937",2012
534,STRATFORD-UPON-AVON COLLEGE,"3,739",2012
535,STRODE COLLEGE,"12,890",2012
536,SUNDERLAND COLLEGE,"649,498",2012
537,SUSSEX DOWNS COLLEGE,"66,415",2012
538,SWINDON COLLEGE,"267,132",2012
539,TAMESIDE COLLEGE,"305,884",2012
540,TELFORD COLLEGE OF ARTS & TECHNOLOGY,"7,579",2012
541,NEW COLLEGE TELFORD,"30,663",2012
542,TOTTON COLLEGE,"5,556",2012
543,TRAFFORD COLLEGE,"557,137",2012
544,TRURO AND PENWITH COLLEGE,"45,524",2012
545,TYNE METROPOLITAN COLLEGE,"310,834",2012
546,UXBRIDGE COLLEGE,"227,340",2012
547,WAKEFIELD COLLEGE,"961,858",2012
548,WALSALL COLLEGE,"579,236",2012
549,WARWICKSHIRE COLLEGE,"2,055,441",2012
550,WEST NOTTINGHAMSHIRE COLLEGE,"1,304,172",2012
551,WEST THAMES COLLEGE,"427,669",2012
552,CITY OF WESTMINSTER COLLEGE,"635,101",2012
553,WESTMINSTER KINGSWAY COLLEGE,"613,900",2012
554,WESTON COLLEGE OF FURTHER AND HIGHER EDUCATION,"30,734",2012
555,WEYMOUTH COLLEGE,"21,770",2012
556,WIGAN AND LEIGH COLLEGE,"1,504,051",2012
557,WILTSHIRE COLLEGE,"729,134",2012
558,WIRRAL METROPOLITAN COLLEGE,"748,002",2012
559,CITY OF WOLVERHAMPTON COLLEGE,"17,845",2012
560,YEOVIL COLLEGE,"59,912",2012
561,YORK COLLEGE,"974,114",2012
562,OVERALL TOTAL,"4,929,055,378",2012
563,HEI TOTAL,"4,811,362,836",2012
564,FEC TOTAL,"117,692,542",2012
565,ANGLIA RUSKIN UNIVERSITY,"21,122,392",2013
566,THE ARTS UNIVERSITY BOURNEMOUTH,"4,126,875",2013
567,"UNIVERSITY OF THE ARTS, LONDON","33,278,158",2013
568,ASTON UNIVERSITY,"19,643,043",2013
569,THE UNIVERSITY OF BATH,"37,576,162",2013
570,BATH SPA UNIVERSITY,"7,901,609",2013
571,UNIVERSITY OF BEDFORDSHIRE,"15,657,018",2013
572,BIRKBECK COLLEGE,"22,410,780",2013
573,THE UNIVERSITY OF BIRMINGHAM,"90,315,662",2013
574,UNIVERSITY COLLEGE BIRMINGHAM,"6,017,826",2013
575,BIRMINGHAM CITY UNIVERSITY,"23,596,883",2013
576,BISHOP GROSSETESTE UNIVERSITY,"1,674,751",2013
577,THE UNIVERSITY OF BOLTON,"8,947,846",2013
578,BOURNEMOUTH UNIVERSITY,"20,126,170",2013
579,THE UNIVERSITY OF BRADFORD,"23,724,505",2013
580,UNIVERSITY OF BRIGHTON,"28,782,614",2013
581,UNIVERSITY OF BRISTOL,"92,864,960",2013
582,BRUNEL UNIVERSITY LONDON,"29,275,094",2013
583,BUCKINGHAMSHIRE NEW UNIVERSITY,"8,979,924",2013
584,UNIVERSITY OF CAMBRIDGE,"160,265,394",2013
585,CANTERBURY CHRIST CHURCH UNIVERSITY,"13,719,344",2013
586,UNIVERSITY OF CENTRAL LANCASHIRE,"36,844,374",2013
587,UNIVERSITY OF CHESTER,"12,800,101",2013
588,THE UNIVERSITY OF CHICHESTER,"5,838,624",2013
589,THE CITY UNIVERSITY,"23,211,265",2013
590,THE CONSERVATOIRE FOR DANCE AND DRAMA,"7,554,322",2013
591,COURTAULD INSTITUTE OF ART,"1,761,029",2013
592,COVENTRY UNIVERSITY,"27,647,889",2013
593,CRANFIELD UNIVERSITY,"21,577,329",2013
594,UNIVERSITY FOR THE CREATIVE ARTS,"9,000,921",2013
595,UNIVERSITY OF CUMBRIA,"7,347,461",2013
596,DE MONTFORT UNIVERSITY,"27,919,303",2013
597,UNIVERSITY OF DERBY,"19,120,209",2013
598,UNIVERSITY OF DURHAM,"46,616,846",2013
599,THE UNIVERSITY OF EAST ANGLIA,"37,712,311",2013
600,UNIVERSITY OF EAST LONDON,"24,440,602",2013
601,EDGE HILL UNIVERSITY,"10,827,020",2013
602,THE UNIVERSITY OF ESSEX,"23,559,701",2013
603,UNIVERSITY OF EXETER,"43,679,962",2013
604,FALMOUTH UNIVERSITY,"7,530,389",2013
605,UNIVERSITY OF GLOUCESTERSHIRE,"10,401,664",2013
606,GOLDSMITHS' COLLEGE,"15,674,057",2013
607,UNIVERSITY OF GREENWICH,"29,563,701",2013
608,GUILDHALL SCHOOL OF MUSIC & DRAMA,"2,075,133",2013
609,HARPER ADAMS UNIVERSITY,"8,702,788",2013
610,UNIVERSITY OF HERTFORDSHIRE,"29,092,417",2013
611,HEYTHROP COLLEGE,"586,022",2013
612,THE UNIVERSITY OF HUDDERSFIELD,"25,237,123",2013
613,THE UNIVERSITY OF HULL,"30,338,315",2013
614,IMPERIAL COLLEGE LONDON,"141,358,529",2013
615,THE INSTITUTE OF CANCER RESEARCH,"18,135,563",2013
616,THE UNIVERSITY OF KEELE,"20,327,737",2013
617,THE UNIVERSITY OF KENT,"34,187,751",2013
618,KING'S COLLEGE LONDON,"110,932,130",2013
619,KINGSTON UNIVERSITY,"35,433,539",2013
620,THE UNIVERSITY OF LANCASTER,"31,915,884",2013
621,THE UNIVERSITY OF LEEDS,"99,680,696",2013
622,LEEDS BECKETT UNIVERSITY,"29,670,943",2013
623,LEEDS COLLEGE OF ART,"1,758,256",2013
624,LEEDS TRINITY UNIVERSITY,"2,280,422",2013
625,THE UNIVERSITY OF LEICESTER,"43,438,391",2013
626,UNIVERSITY OF LINCOLN,"17,883,562",2013
627,THE UNIVERSITY OF LIVERPOOL,"77,890,999",2013
628,LIVERPOOL HOPE UNIVERSITY,"7,047,038",2013
629,THE LIVERPOOL INSTITUTE FOR PERFORMING ARTS,"1,748,932",2013
630,LIVERPOOL JOHN MOORES UNIVERSITY,"32,908,168",2013
631,LIVERPOOL SCHOOL OF TROPICAL MEDICINE,"5,707,573",2013
632,UNIVERSITY COLLEGE LONDON,"180,945,737",2013
633,UNIVERSITY OF LONDON,"10,131,253",2013
634,LONDON BUSINESS SCHOOL,"6,546,263",2013
635,LONDON METROPOLITAN UNIVERSITY,"28,082,987",2013
636,THE LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,"22,367,970",2013
637,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,"21,367,690",2013
638,LONDON SOUTH BANK UNIVERSITY,"21,551,855",2013
639,LOUGHBOROUGH UNIVERSITY,"43,723,175",2013
640,THE UNIVERSITY OF MANCHESTER,"143,723,847",2013
641,MANCHESTER METROPOLITAN UNIVERSITY,"42,427,601",2013
642,MIDDLESEX UNIVERSITY,"24,895,834",2013
643,UNIVERSITY OF NEWCASTLE UPON TYNE,"77,663,055",2013
644,NEWMAN UNIVERSITY,"2,528,658",2013
645,THE UNIVERSITY OF NORTHAMPTON,"11,708,028",2013
646,UNIVERSITY OF NORTHUMBRIA AT NEWCASTLE,"30,902,308",2013
647,NORWICH UNIVERSITY OF THE ARTS,"2,999,614",2013
648,THE UNIVERSITY OF NOTTINGHAM,"98,177,230",2013
649,NOTTINGHAM TRENT UNIVERSITY,"33,460,796",2013
650,THE OPEN UNIVERSITY,"102,924,608",2013
651,THE SCHOOL OF ORIENTAL AND AFRICAN STUDIES,"10,673,951",2013
652,UNIVERSITY OF OXFORD,"169,319,425",2013
653,OXFORD BROOKES UNIVERSITY,"21,022,736",2013
654,UNIVERSITY OF PLYMOUTH,"46,171,993",2013
655,PLYMOUTH COLLEGE OF ART,"1,536,032",2013
656,UNIVERSITY OF PORTSMOUTH,"31,552,282",2013
657,QUEEN MARY UNIVERSITY OF LONDON,"73,452,281",2013
658,RAVENSBOURNE,"3,781,986",2013
659,THE UNIVERSITY OF READING,"32,421,222",2013
660,ROEHAMPTON UNIVERSITY,"11,970,990",2013
661,ROSE BRUFORD COLLEGE OF THEATRE AND PERFORMANCE LTD.,"2,290,935",2013
662,THE ROYAL ACADEMY OF MUSIC,"3,792,639",2013
663,THE ROYAL AGRICULTURAL UNIVERSITY,"3,288,964",2013
664,THE ROYAL CENTRAL SCHOOL OF SPEECH AND DRAMA,"3,760,681",2013
665,THE ROYAL COLLEGE OF ART,"13,412,221",2013
666,THE ROYAL COLLEGE OF MUSIC,"3,947,679",2013
667,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON","24,552,989",2013
668,ROYAL NORTHERN COLLEGE OF MUSIC,"5,005,964",2013
669,THE ROYAL VETERINARY COLLEGE,"22,269,183",2013
670,THE UNIVERSITY OF SALFORD,"30,346,097",2013
671,THE UNIVERSITY OF SHEFFIELD,"88,136,305",2013
672,SHEFFIELD HALLAM UNIVERSITY,"34,301,257",2013
673,THE UNIVERSITY OF SOUTHAMPTON,"77,880,645",2013
674,SOUTHAMPTON SOLENT UNIVERSITY,"17,581,059",2013
675,UNIVERSITY OF ST MARK & ST JOHN,"2,059,743",2013
676,"ST MARY'S UNIVERSITY, TWICKENHAM","4,619,283",2013
677,"ST. GEORGE'S, UNIVERSITY OF LONDON","21,575,521",2013
678,STAFFORDSHIRE UNIVERSITY,"23,480,554",2013
679,UNIVERSITY CAMPUS SUFFOLK LTD,"5,621,138",2013
680,UNIVERSITY OF SUNDERLAND,"16,472,409",2013
681,THE UNIVERSITY OF SURREY,"30,114,348",2013
682,UNIVERSITY OF SUSSEX,"32,667,825",2013
683,TEESSIDE UNIVERSITY,"21,681,923",2013
684,TRINITY LABAN CONSERVATOIRE OF MUSIC AND DANCE LTD,"7,135,226",2013
685,THE UNIVERSITY OF WARWICK,"59,309,226",2013
686,THE UNIVERSITY OF WEST LONDON,"11,614,250",2013
687,"UNIVERSITY OF THE WEST OF ENGLAND, BRISTOL","31,956,392",2013
688,THE UNIVERSITY OF WESTMINSTER,"29,774,880",2013
689,UNIVERSITY OF WINCHESTER,"5,300,360",2013
690,THE UNIVERSITY OF WOLVERHAMPTON,"25,632,072",2013
691,UNIVERSITY OF WORCESTER,"8,354,290",2013
692,WRITTLE COLLEGE,"1,914,810",2013
693,THE UNIVERSITY OF YORK,"43,970,179",2013
694,YORK ST JOHN UNIVERSITY,"4,674,442",2013
695,,,2013
696,FURTHER EDUCATION AND SIXTH FORM COLLEGES,,2013
697,,,2013
698,ABINGDON AND WITNEY COLLEGE,"18,764",2013
699,ACCRINGTON AND ROSSENDALE COLLEGE,"398,580",2013
700,ACTIVATE LEARNING,"61,852",2013
701,AMERSHAM & WYCOMBE COLLEGE,"184,749",2013
702,ASHTON SIXTH FORM COLLEGE,"10,462",2013
703,ASKHAM BRYAN COLLEGE,"870,419",2013
704,AYLESBURY COLLEGE,"14,336",2013
705,BARKING AND DAGENHAM COLLEGE,"374,262",2013
706,BARNET & SOUTHGATE COLLEGE,"106,774",2013
707,BARNFIELD COLLEGE,"64,647",2013
708,BARNSLEY COLLEGE,"914,898",2013
709,BASINGSTOKE COLLEGE OF TECHNOLOGY,"141,579",2013
710,BATH COLLEGE,"60,108",2013
711,BEDFORD COLLEGE,"448,471",2013
712,THE BERKSHIRE COLLEGE OF AGRICULTURE (BCA),"61,982",2013
713,BEXHILL COLLEGE,"17,104",2013
714,BEXLEY COLLEGE,"12,439",2013
715,BICTON COLLEGE,0,2013
716,BIRMINGHAM METROPOLITAN COLLEGE,"505,150",2013
717,BISHOP AUCKLAND COLLEGE,"32,858",2013
718,BISHOP BURTON COLLEGE,"1,441,070",2013
719,BLACKBURN COLLEGE,"3,719,930",2013
720,BLACKPOOL AND THE FYLDE COLLEGE,"4,039,747",2013
721,BMC (BROOKSBY MELTON COLLEGE),"213,326",2013
722,BOLTON COLLEGE,"103,030",2013
723,BOSTON COLLEGE,"39,190",2013
724,THE BOURNEMOUTH AND POOLE COLLEGE,"210,895",2013
725,BOURNVILLE COLLEGE,"28,918",2013
726,BRADFORD COLLEGE,"3,233,980",2013
727,BRIDGWATER COLLEGE,"308,650",2013
728,BROCKENHURST COLLEGE,"14,342",2013
729,BROMLEY COLLEGE OF FURTHER AND HIGHER EDUCATION,"93,771",2013
730,BROOKLANDS COLLEGE,"54,709",2013
731,BURNLEY COLLEGE,"101,747",2013
732,BURY COLLEGE,"28,672",2013
733,CALDERDALE COLLEGE,"287,003",2013
734,CAMBRIDGE REGIONAL COLLEGE,"36,921",2013
735,CANTERBURY COLLEGE,"314,163",2013
736,CARLISLE COLLEGE,"141,127",2013
737,CARSHALTON COLLEGE,"121,570",2013
738,CENTRAL BEDFORDSHIRE COLLEGE,"33,384",2013
739,CENTRAL COLLEGE NOTTINGHAM,"347,798",2013
740,CENTRAL SUSSEX COLLEGE,"215,492",2013
741,CHESTERFIELD COLLEGE,"439,888",2013
742,CHICHESTER COLLEGE,"179,007",2013
743,CITY AND ISLINGTON COLLEGE,"119,453",2013
744,CITY COLLEGE BRIGHTON AND HOVE,"102,331",2013
745,CITY COLLEGE COVENTRY,"60,130",2013
746,CITY COLLEGE NORWICH,"245,020",2013
747,CITY COLLEGE PLYMOUTH,"83,481",2013
748,CITY OF BRISTOL COLLEGE,"286,393",2013
749,THE CITY OF LIVERPOOL COLLEGE,"473,908",2013
750,CITY OF WESTMINSTER COLLEGE,"504,478",2013
751,CITY OF WOLVERHAMPTON COLLEGE,"89,279",2013
752,CLEVELAND COLLEGE OF ART AND DESIGN,"965,824",2013
753,COLCHESTER INSTITUTE,"161,660",2013
754,CORNWALL COLLEGE,"497,187",2013
755,CRAVEN COLLEGE,"322,262",2013
756,CROYDON COLLEGE,"976,498",2013
757,DEARNE VALLEY COLLEGE,"181,947",2013
758,DERBY COLLEGE,"207,810",2013
759,DONCASTER COLLEGE,"1,405,104",2013
760,DUDLEY COLLEGE,"244,570",2013
761,"EALING, HAMMERSMITH & WEST LONDON COLLEGE","85,140",2013
762,EAST BERKSHIRE COLLEGE,"38,398",2013
763,EAST RIDING COLLEGE,"188,751",2013
764,EAST SURREY COLLEGE,"35,075",2013
765,EASTLEIGH COLLEGE,"97,976",2013
766,EXETER COLLEGE,"141,821",2013
767,FAREHAM COLLEGE,"91,411",2013
768,FARNBOROUGH COLLEGE OF TECHNOLOGY,"1,127,625",2013
769,FURNESS COLLEGE,"21,628",2013
770,GATESHEAD COLLEGE,"453,352",2013
771,GLOUCESTERSHIRE COLLEGE,"390,800",2013
772,GRANTHAM COLLEGE,"28,543",2013
773,GRIMSBY INSTITUTE OF FURTHER AND HIGHER EDUCATION,"2,482,077",2013
774,GUILDFORD COLLEGE,"662,401",2013
775,HACKNEY COMMUNITY COLLEGE,"116,896",2013
776,HADLOW COLLEGE,"64,942",2013
777,HALESOWEN COLLEGE,"60,855",2013
778,"THE COLLEGE OF HARINGEY, ENFIELD AND NORTH-EAST LONDON","41,316",2013
779,HARROW COLLEGE,"39,924",2013
780,HARTPURY COLLEGE,"562,940",2013
781,HAVERING COLLEGE OF FURTHER AND HIGHER EDUCATION,"1,409,373",2013
782,HEART OF WORCESTERSHIRE COLLEGE,"1,480,231",2013
783,HENLEY COLLEGE COVENTRY,"218,949",2013
784,HEREFORD COLLEGE OF ARTS,"549,657",2013
785,HEREFORDSHIRE AND LUDLOW COLLEGE,"18,854",2013
786,HERTFORD REGIONAL COLLEGE,"29,657",2013
787,HIGHBURY COLLEGE PORTSMOUTH,"218,387",2013
788,HOLY CROSS COLLEGE,"53,577",2013
789,HOPWOOD HALL COLLEGE,"236,692",2013
790,HUGH BAIRD COLLEGE,"76,781",2013
791,HULL COLLEGE,"2,219,739",2013
792,KENDAL COLLEGE,"18,274",2013
793,KENSINGTON AND CHELSEA COLLEGE,"56,053",2013
794,KINGSTON COLLEGE,"338,141",2013
795,KINGSTON MAURWARD COLLEGE,"159,284",2013
796,KIRKLEES COLLEGE,"519,294",2013
797,KNOWSLEY COMMUNITY COLLEGE,"38,399",2013
798,LAKES COLLEGE WEST CUMBRIA,"393,711",2013
799,LEEDS CITY COLLEGE,"2,239,949",2013
800,LEEDS COLLEGE OF BUILDING,"99,427",2013
801,LEICESTER COLLEGE,"471,677",2013
802,LEWISHAM SOUTHWARK COLLEGE,"144,487",2013
803,LINCOLN COLLEGE,"327,489",2013
804,LOUGHBOROUGH COLLEGE,"1,149,535",2013
805,MACCLESFIELD COLLEGE,"846,060",2013
806,THE MANCHESTER COLLEGE,"1,273,561",2013
807,MID-KENT COLLEGE,"308,059",2013
808,MILTON KEYNES COLLEGE,"132,056",2013
809,MOULTON COLLEGE,"663,960",2013
810,MYERSCOUGH COLLEGE,"167,598",2013
811,NCG,"3,480,192",2013
812,NEW COLLEGE DURHAM,"1,122,604",2013
813,NEW COLLEGE NOTTINGHAM (NCN),"898,978",2013
814,NEW COLLEGE STAMFORD,"172,097",2013
815,NEW COLLEGE TELFORD,"10,654",2013
816,NEWBURY COLLEGE,"136,871",2013
817,NEWHAM COLLEGE OF FURTHER EDUCATION,"289,477",2013
818,NORTH EAST SURREY COLLEGE OF TECHNOLOGY (NESCOT),"559,884",2013
819,NORTH HERTFORDSHIRE COLLEGE,"25,113",2013
820,NORTH KENT COLLEGE,"41,010",2013
821,NORTH LINDSEY COLLEGE,"1,190,388",2013
822,NORTH NOTTINGHAMSHIRE COLLEGE,"58,514",2013
823,NORTH WARWICKSHIRE AND HINCKLEY COLLEGE,"306,840",2013
824,THE COLLEGE OF NORTH WEST LONDON,"180,297",2013
825,NORTHBROOK COLLEGE SUSSEX,"1,830,101",2013
826,NORTHUMBERLAND COLLEGE,"176,207",2013
827,OAKLANDS COLLEGE,"83,093",2013
828,THE OLDHAM COLLEGE,"627,943",2013
829,PETER SYMONDS COLLEGE,"31,439",2013
830,PETERBOROUGH REGIONAL COLLEGE,"85,350",2013
831,PETROC,"16,492",2013
832,PLUMPTON COLLEGE,"86,906",2013
833,PRESTON COLLEGE,"46,384",2013
834,REASEHEATH COLLEGE,"462,081",2013
835,RICHARD HUISH COLLEGE,"12,122",2013
836,RICHMOND UPON THAMES COLLEGE,"57,213",2013
837,RIVERSIDE COLLEGE,"379,003",2013
838,ROTHERHAM COLLEGE OF ARTS AND TECHNOLOGY,"354,428",2013
839,RUNSHAW COLLEGE,"176,826",2013
840,RUSKIN COLLEGE,"84,412",2013
841,SALFORD CITY COLLEGE,"46,044",2013
842,SANDWELL COLLEGE,"52,116",2013
843,SEEVIC COLLEGE,"30,150",2013
844,SELBY COLLEGE,"49,161",2013
845,THE SHEFFIELD COLLEGE,"433,129",2013
846,SOLIHULL COLLEGE,"519,996",2013
847,SOMERSET COLLEGE,"566,218",2013
848,SOUTH & CITY COLLEGE BIRMINGHAM,"213,326",2013
849,SOUTH DEVON COLLEGE,"68,904",2013
850,SOUTH DOWNS COLLEGE,"159,473",2013
851,SOUTH ESSEX COLLEGE OF FURTHER AND HIGHER EDUCATION,"104,411",2013
852,SOUTH GLOUCESTERSHIRE AND STROUD COLLEGE,"166,409",2013
853,SOUTH LEICESTERSHIRE COLLEGE,"40,692",2013
854,SOUTH THAMES COLLEGE,"98,066",2013
855,SOUTH TYNESIDE COLLEGE,"820,593",2013
856,SOUTHAMPTON CITY COLLEGE,"51,739",2013
857,SOUTHPORT COLLEGE,"47,404",2013
858,SPARSHOLT COLLEGE,"1,097,907",2013
859,ST HELENS COLLEGE,"957,465",2013
860,ST MARY'S COLLEGE,"8,248",2013
861,STEPHENSON COLLEGE,"244,836",2013
862,STOCKPORT COLLEGE,"1,105,412",2013
863,STRATFORD-UPON-AVON COLLEGE,"21,685",2013
864,STRODE COLLEGE,"33,489",2013
865,SUNDERLAND COLLEGE,"466,763",2013
866,SUSSEX COAST COLLEGE HASTINGS,"46,402",2013
867,SUSSEX DOWNS COLLEGE,"64,236",2013
868,SWINDON COLLEGE,"124,600",2013
869,TAMESIDE COLLEGE,"169,128",2013
870,TELFORD COLLEGE OF ARTS & TECHNOLOGY,"13,569",2013
871,TRAFFORD COLLEGE,"288,625",2013
872,TRESHAM COLLEGE OF FURTHER AND HIGHER EDUCATION,"32,120",2013
873,TRURO AND PENWITH COLLEGE,"83,944",2013
874,TYNE METROPOLITAN COLLEGE,"252,174",2013
875,UXBRIDGE COLLEGE,"108,828",2013
876,WAKEFIELD COLLEGE,"483,822",2013
877,WALSALL COLLEGE,"241,429",2013
878,WARRINGTON COLLEGIATE,"41,440",2013
879,WARWICKSHIRE COLLEGE,"1,435,417",2013
880,WEST CHESHIRE COLLEGE,"46,648",2013
881,WEST HERTS COLLEGE,"28,672",2013
882,WEST KENT AND ASHFORD COLLEGE,"134,928",2013
883,WEST NOTTINGHAMSHIRE COLLEGE,"729,490",2013
884,WEST THAMES COLLEGE,"195,007",2013
885,WESTMINSTER KINGSWAY COLLEGE,"233,125",2013
886,WESTON COLLEGE OF FURTHER AND HIGHER EDUCATION,"55,711",2013
887,WEYMOUTH COLLEGE,"37,949",2013
888,WIGAN AND LEIGH COLLEGE,"754,391",2013
889,WILTSHIRE COLLEGE,"578,617",2013
890,WIRRAL METROPOLITAN COLLEGE,"270,857",2013
891,YEOVIL COLLEGE,"44,683",2013
892,YORK COLLEGE,"583,507",2013
893,OVERALL TOTAL,"4,032,532,652",2013
894,HIGHER EDUCATION INSTITUTION TOTAL,"3,955,500,897",2013
895,FURTHER EDUCATION AND SIXTH FORM COLLEGE TOTAL,"77,031,755",2013
896,ANGLIA RUSKIN UNIVERSITY,"14,116,899",2014
897,THE ARTS UNIVERSITY BOURNEMOUTH,"1,611,776",2014
898,"UNIVERSITY OF THE ARTS, LONDON","24,824,024",2014
899,ASTON UNIVERSITY,"16,674,006",2014
900,THE UNIVERSITY OF BATH,"32,522,432",2014
901,BATH SPA UNIVERSITY,"3,659,643",2014
902,UNIVERSITY OF BEDFORDSHIRE,"8,810,098",2014
903,BIRKBECK COLLEGE,"19,914,471",2014
904,THE UNIVERSITY OF BIRMINGHAM,"77,056,332",2014
905,UNIVERSITY COLLEGE BIRMINGHAM,"3,682,721",2014
906,BIRMINGHAM CITY UNIVERSITY,"15,798,767",2014
907,BISHOP GROSSETESTE UNIVERSITY,"699,147",2014
908,THE UNIVERSITY OF BOLTON,"5,213,313",2014
909,BOURNEMOUTH UNIVERSITY,"12,814,907",2014
910,THE UNIVERSITY OF BRADFORD,"17,309,278",2014
911,UNIVERSITY OF BRIGHTON,"20,535,520",2014
912,UNIVERSITY OF BRISTOL,"83,888,863",2014
913,BRUNEL UNIVERSITY LONDON,"22,840,310",2014
914,BUCKINGHAMSHIRE NEW UNIVERSITY,"4,833,701",2014
915,UNIVERSITY OF CAMBRIDGE,"151,479,592",2014
916,CANTERBURY CHRIST CHURCH UNIVERSITY,"7,432,790",2014
917,UNIVERSITY OF CENTRAL LANCASHIRE,"24,582,347",2014
918,UNIVERSITY OF CHESTER,"7,553,073",2014
919,THE UNIVERSITY OF CHICHESTER,"2,985,416",2014
920,"CITY, UNIVERSITY OF LONDON","19,064,788",2014
921,THE CONSERVATOIRE FOR DANCE AND DRAMA,"6,454,977",2014
922,COURTAULD INSTITUTE OF ART,"1,607,011",2014
923,COVENTRY UNIVERSITY,"20,095,079",2014
924,CRANFIELD UNIVERSITY,"20,802,982",2014
925,UNIVERSITY FOR THE CREATIVE ARTS,"3,777,430",2014
926,THE UNIVERSITY OF CUMBRIA,"3,298,603",2014
927,DE MONTFORT UNIVERSITY,"17,457,261",2014
928,UNIVERSITY OF DERBY,"11,480,606",2014
929,UNIVERSITY OF DURHAM,"37,962,326",2014
